pegawaidiklat_id;pegawai_nama;diklat_nama;diklat_jp;pegawai_diklat_tahun;jenis_diklat
5609;Pegawai 1139;Etika Kerja Dalam Membangun Hubungan Kerja (PR);12;14/02/2022;Teknis
5610;Pegawai 1852;Pemeriksaan kinerja;18;26/08/2021;Teknis
5611;Pegawai 1672;Penganggaran Berbasis Kinerja;13;05/06/2021;Teknis
5612;Pegawai 637;Perencanaan Strategis;13;08/03/2022;Teknis
5613;Pegawai 674;Sekretariat Tim Penilai Angka Kredit JFP;21;08/02/2022;Teknis
5614;Pegawai 59;Project Management;22;17/04/2022;Teknis
5615;Pegawai 612;Pemeriksaan Kinerja Executive;20;12/08/2022;Teknis
5616;Pegawai 479;TABK (ACL, Arbutus, IDEA, Excel);11;26/05/2021;Teknis
5617;Pegawai 1732;TABK-Arbutus;11;21/08/2021;Teknis
5618;Pegawai 381;Pemberian Keterangan ahli;21;10/05/2022;Teknis
5619;Pegawai 1719;Microsoft Excel;16;19/06/2021;Teknis
5620;Pegawai 610;Teknik Wawancara;10;27/11/2021;Teknis
5621;Pegawai 376;Professional Image Grooming;8;23/11/2021;Teknis
5622;Pegawai 395;Effective Communication Skills;17;20/07/2021;Teknis
5623;Pegawai 1157;Diklat Kepemimpinan - III;10;24/09/2022;Kepemimpinan
5624;Pegawai 883;Analis KepegawaianAnggota Tim;21;17/06/2021;Fungsional
5625;Pegawai 292;Analisis Pemecahan Masalah;20;23/12/2021;Teknis
5626;Pegawai 5;Effective Leadership;13;18/03/2022;Teknis
5627;Pegawai 260;Penilaian Aset;16;30/01/2022;Teknis
5628;Pegawai 1192;Diklat Peran Anggota Tim Yunior (ATY);20;12/04/2021;Fungsional
5629;Pegawai 144;Hukum Pertanahan;19;11/05/2021;Teknis
5630;Pegawai 1923;Pengelolaan Informasi Publik;9;01/11/2022;Teknis
5631;Pegawai 1193;Diklat Pembentukan Jabatan Fungsional Pemeriksa (JFP);12;03/04/2022;Fungsional
5632;Pegawai 1304;Alih Media Digital;16;21/12/2021;Teknis
5633;Pegawai 1456;Risk Based Audit dan SIAP LKPD;17;14/06/2022;Teknis
5634;Pegawai 1778;Pemeriksaan Kinerja KT;20;14/09/2021;Teknis
5635;Pegawai 418;Penganggaran Berbasis Kinerja;13;05/06/2021;Teknis
5636;Pegawai 1127;Public Speaking;10;21/11/2021;Teknis
5637;Pegawai 499;TABK-KPPN;14;26/07/2022;Teknis
5638;Pegawai 16;Penulisan Laporan (Gaya Selingkung), Kodering Temuan dan Penyusunan KKP;11;23/06/2022;Teknis
5639;Pegawai 761;Auditor Ahli-Crash Program;13;22/05/2022;Fungsional
5640;Pegawai 700;Fotografi;11;11/05/2022;Teknis
5641;Pegawai 316;Pengelolaan Perpustakaan;9;08/08/2022;Teknis
5642;Pegawai 1654;Dasar-dasar Manajemen &amp;11;19/08/2022;Teknis
5643;Pegawai 824;Analis Kepegawaian;13;20/10/2022;Teknis
5644;Pegawai 913;Aspek Hukum dan Tindak Pidana Korupsi;12;19/03/2021;Teknis
5645;Pegawai 122;Auditor Ahli Akuntansi;22;01/08/2021;Fungsional
5646;Pegawai 19;Prosedur Analitis;20;11/10/2021;Teknis
5647;Pegawai 822;Pengadaan Barang dan Jasa;18;29/05/2022;Teknis
5648;Pegawai 1614;Pemeriksaan Atas Laporan Keuangan;21;27/08/2021;Teknis
5649;Pegawai 1275;Diklat Peran Pengendali Mutu (PM);19;13/02/2021;Fungsional
5650;Pegawai 944;Pemeriksaan Pasca Tambang;14;03/07/2021;Teknis
5651;Pegawai 1483;Microsoft Excel;16;19/06/2021;Teknis
5652;Pegawai 1482;Teknik Membaca Cepat;14;22/12/2022;Teknis
5653;Pegawai 1044;Legal Drafting, legal review, &amp;9;12/04/2021;Teknis
5654;Pegawai 256;Pengelolaan Jaringan;12;13/06/2021;Teknis
5655;Pegawai 1687;Manajemen Kompetensi;20;22/11/2022;Teknis
5656;Pegawai 726;e-procurement;13;24/05/2022;Teknis
5657;Pegawai 308;Penyusunan dan Analisis Kontrak;8;26/01/2021;Teknis
5658;Pegawai 1559;Pemeriksaan dana bergulir;17;23/06/2022;Teknis
5659;Pegawai 1183;Aspek Hukum dan Tindak Pidana Korupsi;12;19/03/2021;Teknis
5660;Pegawai 1788;Penilaian Sistem Pengendalian Intern;21;18/03/2022;Teknis
5661;Pegawai 903;Workshop persiapan pemeriksaan tematik atas Kinerja APIP;12;01/03/2022;Teknis
5662;Pegawai 838;Aplikasi Perkantoran di BPK;18;30/08/2021;Teknis
5663;Pegawai 735;Kepaniteraan Kerugian Negara;19;15/05/2022;Teknis
5664;Pegawai 218;Aplikasi Perkantoran di BPK;18;30/08/2021;Teknis
5665;Pegawai 201;Speed reading and mind mapping;22;22/09/2022;Teknis
5666;Pegawai 1968;Jabatan Fungsional Pranata dan Analis Pengelolaan Keuangan APBN;20;11/08/2022;Fungsional
5667;Pegawai 1309;Perumusan Opini;15;11/08/2021;Teknis
5668;Pegawai 1288;Pengelolaan Website dan Sosial Media;8;21/12/2021;Teknis
5669;Pegawai 297;Pemeriksaan Bencana;9;22/10/2021;Teknis
5670;Pegawai 886;Auditor Ahli Akuntansi;22;01/08/2021;Fungsional
5671;Pegawai 150;Jabatan Fungsional Pranata dan Analis Pengelolaan Keuangan APBN;20;11/08/2022;Fungsional
5672;Pegawai 186;Creative thinking;10;06/07/2021;Teknis
5673;Pegawai 1486;Teknik Wawancara dan SIAP LKPD;22;04/02/2022;Teknis
5674;Pegawai 96;Sistem Kendali Kecurangan;12;23/02/2021;Teknis
5675;Pegawai 71;TABK-Arbutus;11;21/08/2021;Teknis
5676;Pegawai 1321;Diklat Peran Ketua Tim Yunior (KTY);16;26/04/2022;Fungsional
5677;Pegawai 692;Rencana Pengembangan Individu;22;01/01/2022;Teknis
5678;Pegawai 1325;Pemeriksaan PBJ;21;12/01/2022;Teknis
5679;Pegawai 1849;Pemeriksaan Pasca Tambang;14;03/07/2021;Teknis
5680;Pegawai 1677;Penulisan Pendapat Hukum;13;13/04/2022;Teknis
5681;Pegawai 381;Pemahaman Entitas dan Penentuan Area Potensial;15;30/01/2022;Teknis
5682;Pegawai 1686;Perumusan Opini;15;11/08/2021;Teknis
5683;Pegawai 633;Aplikasi Perkantoran di BPK;18;30/08/2021;Teknis
5684;Pegawai 1824;Kepaniteraan Kerugian Negara;19;15/05/2022;Teknis
5685;Pegawai 81;Effective Communication Skills;17;20/07/2021;Teknis
5686;Pegawai 165;Pengelolaan Informasi Publik;9;01/11/2022;Teknis
5687;Pegawai 1958;Penilaian Risiko Kecurangan dalam Pemeriksaan LKPD;9;16/06/2022;Teknis
5688;Pegawai 1067;Diklat Kepemimpinan - III;10;24/09/2022;Kepemimpinan
5689;Pegawai 77;Analis Kepegawaian;13;20/10/2022;Teknis
5690;Pegawai 13;Penilaian angka kredit JFP;11;23/04/2022;Teknis
5691;Pegawai 1021;Diklat Orientasi ke-BPK-an - Tenaga Honorer dan Lolos Butuh;22;19/06/2022;Orientasi Ke-BPK-AN
5692;Pegawai 1833;Pemeriksaan Pasca Tambang;14;03/07/2021;Teknis
5693;Pegawai 849;Pemahaman Entitas dan Penentuan Area Potensial;15;30/01/2022;Teknis
5694;Pegawai 385;Pemeriksaan PNBP dan lingkungan mineral dan pertambangan;17;25/03/2021;Teknis
5695;Pegawai 478;Diklat Kepemimpinan - I;8;27/09/2022;Kepemimpinan
5696;Pegawai 1434;Hukum Acara Pidana, Perdata dan TUN serta Penafsiran Hukum;16;10/05/2021;Teknis
5697;Pegawai 248;Penilaian Aset;16;30/01/2022;Teknis
5698;Pegawai 1531;Psikologi Pemeriksaan;21;09/11/2022;Teknis
5699;Pegawai 18;Perumusan Opini;15;11/08/2021;Teknis
5700;Pegawai 88;Pemrograman Berbasis Web dan Desktop;10;22/07/2022;Teknis
5701;Pegawai 226;Budaya Organisasi;19;23/09/2021;Teknis
5702;Pegawai 1663;Pengelolaan keuangan strategis;13;09/05/2021;Teknis
5703;Pegawai 1256;Pengelolaan keuangan strategis;13;09/05/2021;Teknis
5704;Pegawai 1414;Pembentukan Instruktur;9;16/06/2021;Teknis
5705;Pegawai 71;Pemberian keterangan ahli;21;10/05/2022;Teknis
5706;Pegawai 1309;Pemeriksaan kinerja;18;26/08/2021;Teknis
5707;Pegawai 985;Standar Akuntansi Pemerintahan;19;13/10/2021;Teknis
5708;Pegawai 706;Pengadaan infrastruktur;18;04/01/2022;Teknis
5709;Pegawai 264;Penyusunan Naskah Pidato;17;27/02/2022;Teknis
5710;Pegawai 1568;International Financial Reporting System (IFRS);15;18/03/2021;Teknis
5711;Pegawai 199;TABK-Arbutus;11;21/08/2021;Teknis
5712;Pegawai 1549;Diklat Kepemimpinan - II;8;18/01/2021;Kepemimpinan
5713;Pegawai 565;Sertifikat Kompetensi;18;05/04/2021;Teknis
5714;Pegawai 1696;Sertifikat Kompetensi;18;05/04/2021;Teknis
5715;Pegawai 1506;Dasar-dasar Manajemen &amp;11;19/08/2022;Teknis
5716;Pegawai 107;Korespondensi dan Tata Naskah Kedinasan;12;14/12/2021;Teknis
5717;Pegawai 1596;Penghitungan Kerugian Negara/Daerah;9;06/02/2022;Teknis
5718;Pegawai 1255;Pemeriksaan Atas Laporan Keuangan;21;27/08/2021;Teknis
5719;Pegawai 900;Aspek Hukum dalam Pengadaan Barang dan Jasa;20;01/03/2021;Teknis
5720;Pegawai 319;SPKPP;17;31/10/2021;Teknis
5721;Pegawai 479;Pemeriksaan aset kawasan industri;9;18/06/2021;Teknis
5722;Pegawai 725;Pemeriksaan Aset Tetap;17;07/12/2022;Teknis
5723;Pegawai 444;Pemeriksaan Kas;13;05/05/2021;Teknis
5724;Pegawai 481;Alih Media Digital;16;21/12/2021;Teknis
5725;Pegawai 837;Diklat Orientasi ke-BPK-an - Gol. III;14;17/09/2022;Orientasi Ke-BPK-AN
5726;Pegawai 884;Sistem Kendali Kecurangan;12;23/02/2021;Teknis
5727;Pegawai 378;Sertifikasi Pengadaan Barang dan Jasa;17;05/08/2022;Teknis
5728;Pegawai 1085;Kearsipan dan Kesekretariatan;17;26/04/2021;Teknis
5729;Pegawai 1449;Sertifikasi Pengadaan Barang dan Jasa;17;05/08/2022;Teknis
5730;Pegawai 1831;Sistem Pengelolaan Keuangan Pemerintah Daerah (SPKPD);14;03/02/2022;Teknis
5731;Pegawai 1066;Penulisan Populer dan Infografis;8;24/05/2022;Teknis
5732;Pegawai 1629;Reviu pengadaan barang dan jasa;20;23/12/2022;Teknis
5733;Pegawai 361;Pemeriksaan Kas;13;05/05/2021;Teknis
5734;Pegawai 1061;Pemeriksaan PNBP dan lingkungan mineral dan pertambangan;17;25/03/2021;Teknis
5735;Pegawai 1849;Auditor Terampil Non Akuntansi;21;27/01/2021;Fungsional
5736;Pegawai 443;Pengadaan infrastruktur;18;04/01/2022;Teknis
5737;Pegawai 128;Risk Based Audit ;19;10/01/2022;Teknis
5738;Pegawai 1478;Kearsipan Tingkat Lanjut;18;27/10/2021;Teknis
5739;Pegawai 1505;Pemeriksaan Pendapatan Pajak Minerba;13;22/01/2022;Teknis
5740;Pegawai 1719;Pemeriksaan pajak BUMN jasa karya;19;17/08/2021;Teknis
5741;Pegawai 848;Metode Penelitian Sosial;11;23/11/2022;Teknis
5742;Pegawai 1119;Penjaminan Mutu Pemeriksaan;22;05/10/2022;Teknis
5743;Pegawai 457;Penetapan Kriteria;8;31/08/2021;Teknis
5744;Pegawai 1017;Aspek Hukum dan Tindak Pidana Korupsi;12;19/03/2021;Teknis
5745;Pegawai 275;Auditor Ahli Akuntansi;22;01/08/2021;Fungsional
5746;Pegawai 1273;Diklat Peran Ketua Tim Senior (KTS);18;25/07/2022;Fungsional
5747;Pegawai 398;Perpajakan bagi bendahara;11;24/02/2022;Teknis
5748;Pegawai 698;Perencanaan Pengadaan;20;13/12/2021;Teknis
5749;Pegawai 1718;Auditor Terampil Akuntansi;19;14/11/2022;Fungsional
5750;Pegawai 958;Diklat Pembentukan Jabatan Fungsional Pemeriksa (JFP);12;03/04/2022;Fungsional
5751;Pegawai 1909;Pemeriksaan PNBP dan lingkungan mineral dan pertambangan;17;25/03/2021;Teknis
5752;Pegawai 1435;Kehumasan;10;01/01/2022;Teknis
5753;Pegawai 1710;Penyusunan dan revisi anggaran RKA-KL;15;06/04/2021;Teknis
5754;Pegawai 714;Pengelolaan Informasi Publik;9;01/11/2022;Teknis
5755;Pegawai 743;Teknik Wawancara;10;27/11/2021;Teknis
5756;Pegawai 210;Workshop persiapan pemeriksaan LK Kemenkumham, Polri dan Kejaksaan;8;19/01/2022;Teknis
5757;Pegawai 363;Pemeriksaan Kinerja Executive;20;12/08/2022;Teknis
5758;Pegawai 1109;Pemeriksaan Laporan Keuangan Pemerintah Daerah (LKPD) Berbasis Akrual;16;07/07/2021;Teknis
5759;Pegawai 1550;Stress Management;20;23/12/2022;Teknis
5760;Pegawai 1883;Diklat Peran Pengendali Mutu (PM);19;13/02/2021;Fungsional
5761;Pegawai 1462;Self Motivation Skill;22;25/11/2021;Teknis
5762;Pegawai 1514;Manajemen Kinerja;17;23/10/2021;Teknis
5763;Pegawai 1656;Analis Kepegawaian;13;20/10/2022;Teknis
5764;Pegawai 1646;Fotografi;11;11/05/2022;Teknis
5765;Pegawai 1048;Diklat Prajabatan - Gol. I;22;04/09/2021;Pra-Jabatan
5766;Pegawai 1854;Pemeriksaan Bencana;9;22/10/2021;Teknis
5767;Pegawai 505;Pemeriksaan Kas;13;05/05/2021;Teknis
5768;Pegawai 942;Pemeriksaan aset kawasan industri;9;18/06/2021;Teknis
5769;Pegawai 1001;Diklat Peran Ketua Tim Senior (KTS);18;25/07/2022;Fungsional
5770;Pegawai 1090;Penyusunan Prosedur Operasional Standar (POS);19;12/01/2021;Teknis
5771;Pegawai 423;TABK SIMDA;19;01/08/2021;Teknis
5772;Pegawai 1945;Pemeriksaan Terumbu Karang;11;03/11/2021;Teknis
5773;Pegawai 120;Penulisan Pendapat Hukum;13;13/04/2022;Teknis
5774;Pegawai 187;Pemeriksaan dana bergulir;17;23/06/2022;Teknis
5775;Pegawai 1638;Pengelolaan Jaringan;12;13/06/2021;Teknis
5776;Pegawai 917;Etika Profesi Bidang Telematika;22;24/10/2022;Teknis
5777;Pegawai 76;Sistem Pengelolaan Keuangan Pemerintah Daerah (SPKPD);14;03/02/2022;Teknis
5778;Pegawai 84;Aspek Hukum dalam Pengelolaan Keuangan Negara;15;19/05/2022;Teknis
5779;Pegawai 878;Pemberian Keterangan ahli;21;10/05/2022;Teknis
5780;Pegawai 1318;Korespondensi dan Tata Naskah Kedinasan;12;14/12/2021;Teknis
5781;Pegawai 296;Analisis Pemecahan Masalah;20;23/12/2021;Teknis
5782;Pegawai 1068;Manajemen TI;20;17/09/2022;Teknis
5783;Pegawai 839;NLP;21;28/09/2022;Teknis
5784;Pegawai 1736;Project Management;22;17/04/2022;Teknis
5785;Pegawai 133;Fotografi;11;11/05/2022;Teknis
5786;Pegawai 342;Diklat Peran Pengendali Teknis (PT);13;29/12/2022;Fungsional
5787;Pegawai 718;TABK SIMDA;19;01/08/2021;Teknis
5788;Pegawai 999;Penilaian Aset;16;30/01/2022;Teknis
5789;Pegawai 1515;PPSPM Negara Tersertifikasi;11;19/07/2022;Teknis
5790;Pegawai 71;Oracle Database;12;27/06/2022;Teknis
5791;Pegawai 409;Pemeriksaan Berprespektif Lingkungan;17;15/04/2022;Teknis
5792;Pegawai 1833;Pemeriksaan Pasca Tambang;14;03/07/2021;Teknis
5793;Pegawai 1493;Reviu pengadaan barang dan jasa;20;23/12/2022;Teknis
5794;Pegawai 1412;Diklat Pembentukan Jabatan Fungsional Pemeriksa (JFP);12;03/04/2022;Fungsional
5795;Pegawai 36;Pemberian Keterangan ahli;21;10/05/2022;Teknis
5796;Pegawai 1271;Penyusunan dan Analisis Kontrak;8;26/01/2021;Teknis
5797;Pegawai 227;Pemeriksaan Berprespektif Lingkungan;17;15/04/2022;Teknis
5798;Pegawai 480;Berpikir Kritis dan Inovatif;10;26/03/2021;Teknis
5799;Pegawai 667;Sertifikat Kompetensi;18;05/04/2021;Teknis
5800;Pegawai 925;Penyusunan dan analisa kontrak di lingkungan Pemerintahan;18;17/11/2022;Teknis
5801;Pegawai 116;Penyusunan Prosedur Operasional Standar (POS);19;12/01/2021;Teknis
5802;Pegawai 279;Pengelolaan Jaringan;12;13/06/2021;Teknis
5803;Pegawai 1104;Reviu pengadaan barang dan jasa;20;23/12/2022;Teknis
5804;Pegawai 148;Diklat Prajabatan - Gol. II;10;04/02/2021;Pra-Jabatan
5805;Pegawai 8;Pengelolaan Aset Negara (BMN);20;13/02/2022;Teknis
5806;Pegawai 370;Alih Media Digital;16;21/12/2021;Teknis
5807;Pegawai 1005;Penilaian Risiko Kecurangan dalam Pemeriksaan LKPD;9;16/06/2022;Teknis
5808;Pegawai 1117;Manajemen Kompetensi;20;22/11/2022;Teknis
5809;Pegawai 32;Teknik Wawancara dan SIAP LKPD;22;04/02/2022;Teknis
5810;Pegawai 1309;Sertifikasi Pengadaan Barang dan Jasa;17;05/08/2022;Teknis
5811;Pegawai 1771;Prosedur Analitis;20;11/10/2021;Teknis
5812;Pegawai 591;Reviu pengadaan barang dan jasa;20;23/12/2022;Teknis
5813;Pegawai 533;Review CFE;9;26/12/2021;Teknis
5814;Pegawai 1647;Pemeriksaan LKPD AT;14;27/05/2021;Teknis
5815;Pegawai 1531;Berpikir Kritis dan Inovatif;10;26/03/2021;Teknis
5816;Pegawai 413;Teknik Interviu dan FGD;16;03/10/2021;Teknis
5817;Pegawai 1664;Microsoft Excel;16;19/06/2021;Teknis
5818;Pegawai 724;Evaluasi terhadap KAP yang memeriksa untuk dan atas nama  BPK dan evaluasi terhadap KAP yang memerik;22;13/05/2021;Teknis
5819;Pegawai 1864;Pengadaan barang dan jasa tingkat menengah;15;26/12/2021;Teknis
5820;Pegawai 264;Analis AnggaranAnalis Kebijakan;8;29/06/2021;Fungsional
5821;Pegawai 1724;Penyusunan dan analisa kontrak di lingkungan Pemerintahan;18;17/11/2022;Teknis
5822;Pegawai 453;Change Management;10;27/10/2022;Teknis
5823;Pegawai 1596;Kearsipan dan Kesekretariatan;17;26/04/2021;Teknis
5824;Pegawai 1528;Pengelolaan Jaringan;12;13/06/2021;Teknis
5825;Pegawai 423;Penilaian angka kredit JFP;11;23/04/2022;Teknis
5826;Pegawai 463;Hukum Acara Pidana, Perdata dan TUN serta Penafsiran Hukum;16;10/05/2021;Teknis
5827;Pegawai 1591;Etika Profesi Bidang Telematika;22;24/10/2022;Teknis
5828;Pegawai 55;Teknik Sampling;17;12/08/2021;Teknis
5829;Pegawai 58;Alih Media Digital;16;21/12/2021;Teknis
5830;Pegawai 298;Stress Management;20;23/12/2022;Teknis
5831;Pegawai 45;Lain-lain;19;26/06/2022;Teknis
5832;Pegawai 748;Pemeriksaan Infrastruktur ;15;03/08/2021;Teknis
5833;Pegawai 479;TABK Excel;19;10/10/2021;Teknis
5834;Pegawai 1626;Aspek Hukum dalam Pengelolaan Keuangan Negara;15;19/05/2022;Teknis
5835;Pegawai 1707;Sistem Pengelolaan Keuangan Pemerintah Daerah (SPKPD);14;03/02/2022;Teknis
5836;Pegawai 1128;Keprotokolan;10;27/11/2022;Teknis
5837;Pegawai 967;Sistem aplikasi di bidang keuangan dan penyusunan laporan;11;04/03/2022;Teknis
5838;Pegawai 1799;Coaching ;15;18/12/2021;Teknis
5839;Pegawai 1044;Perencanaan Pengadaan;20;13/12/2021;Teknis
5840;Pegawai 1271;Logical Framework Analysis;11;01/08/2021;Teknis
5841;Pegawai 74;Diklat Orientasi ke-BPK-an - Gol. II;13;10/09/2021;Orientasi Ke-BPK-AN
5842;Pegawai 562;Analis KepegawaianAnggota Tim;21;17/06/2021;Fungsional
5843;Pegawai 1031;Penulisan Pendapat Hukum;13;13/04/2022;Teknis
5844;Pegawai 1347;Pemeriksaan Area Kunci;18;24/12/2021;Teknis
5845;Pegawai 732;Aplikasi Teknologi Informasi dan E-Audit;17;06/09/2021;Teknis
5846;Pegawai 1887;Alih Media Digital;16;21/12/2021;Teknis
5847;Pegawai 346;Manajemen Kompetensi;20;22/11/2022;Teknis
5848;Pegawai 1955;Manajemen Perpustakaan;16;27/11/2022;Teknis
5849;Pegawai 999;Penyusunan dan Analisis Kontrak;8;26/01/2021;Teknis
5850;Pegawai 988;Kepaniteraan Kerugian Negara;19;15/05/2022;Teknis
5851;Pegawai 714;Analis AnggaranAnalis Kebijakan;8;29/06/2021;Fungsional
5852;Pegawai 931;Digital Forensic;15;21/01/2021;Teknis
5853;Pegawai 136;Effective Communication Skills;17;20/07/2021;Teknis
5854;Pegawai 757;SIAP LKPD;10;28/04/2022;Teknis
5855;Pegawai 420;Pemeriksaan Laporan Keuangan Pemerintah;14;19/02/2021;Teknis
5856;Pegawai 1731;Pemeriksaan Pasca Tambang;14;03/07/2021;Teknis
5857;Pegawai 1317;Penilaian Aset;16;30/01/2022;Teknis
5858;Pegawai 27;Diklat Kepemimpinan - III;10;24/09/2022;Kepemimpinan
5859;Pegawai 784;Manajemen Perkantoran;22;24/06/2021;Teknis
5860;Pegawai 1705;TABK Excel;19;10/10/2021;Teknis
5861;Pegawai 877;Manajemen Perpustakaan;16;27/11/2022;Teknis
5862;Pegawai 234;Psikologi Pemeriksaan;21;09/11/2022;Teknis
5863;Pegawai 53;Teknik Pengumpulan dan Analisis Bukti Pemeriksaan Investigatif;16;06/05/2022;Teknis
5864;Pegawai 1257;Pemeriksaan Belanja Daerah;15;20/10/2022;Teknis
5865;Pegawai 1313;Teknik Wawancara dan SIAP LKPD;22;04/02/2022;Teknis
5866;Pegawai 1784;Monitoring dan Evaluasi Kinerja RKA (PMK 249/2011);22;02/12/2022;Teknis
5867;Pegawai 1492;Pemeriksaan Badan Usaha Milik Daerah (BUMD);12;15/01/2021;Teknis
5868;Pegawai 935;Pemahaman Entitas dan Penentuan Area Potensial;15;30/01/2022;Teknis
5869;Pegawai 1404;Perpajakan bagi bendahara;11;24/02/2022;Teknis
5870;Pegawai 1575;Prosedur Analitis;20;11/10/2021;Teknis
5871;Pegawai 1468;Diklat Prajabatan - Gol. III;14;04/03/2021;Pra-Jabatan
5872;Pegawai 458;Diklat Prajabatan - Gol. III;14;04/03/2021;Pra-Jabatan
5873;Pegawai 1074;Sistem Akuntansi Pemerintah Daerah;11;23/05/2021;Teknis
5874;Pegawai 104;Teknik Wawancara dan SIAP LKPD;22;04/02/2022;Teknis
5875;Pegawai 1555;Pemeriksaan Aset Tetap;17;07/12/2022;Teknis
5876;Pegawai 1974;Review CFE;9;26/12/2021;Teknis
5877;Pegawai 1894;Pemeriksaan Terumbu Karang;11;03/11/2021;Teknis
5878;Pegawai 1615;Pemeriksaan Pengadaan Barang dan Jasa;20;17/01/2022;Teknis
5879;Pegawai 1873;Monitoring dan Evaluasi Kinerja RKA (PMK 249/2011);22;02/12/2022;Teknis
5880;Pegawai 1732;Kehumasan;10;01/01/2022;Teknis
5881;Pegawai 1853;Pemeriksaan Operasional Perbankan;16;31/05/2021;Teknis
5882;Pegawai 1230;Creative thinking;10;06/07/2021;Teknis
5883;Pegawai 1988;Auditor Ahli Non Akuntansi;19;02/05/2022;Fungsional
5884;Pegawai 1140;Sistem Pengelolaan Keuangan Pemerintah Pusat (SPKPP);16;10/08/2022;Teknis
5885;Pegawai 1768;Penulisan Kajian;14;12/11/2021;Teknis
5886;Pegawai 1499;TABK-SAI;12;14/11/2022;Teknis
5887;Pegawai 1204;Pengelolaan Website dan Sosial Media;8;21/12/2021;Teknis
5888;Pegawai 340;Penetapan Kriteria;8;31/08/2021;Teknis
5889;Pegawai 1168;TABK Excel;19;10/10/2021;Teknis
5890;Pegawai 1178;Manajemen Konflik;9;12/09/2021;Teknis
5891;Pegawai 516;Penulisan Hasil Penelitian;18;23/11/2021;Teknis
5892;Pegawai 22;Pemeriksaan Aset Tetap;17;07/12/2022;Teknis
5893;Pegawai 1810;International Financial Reporting System (IFRS);15;18/03/2021;Teknis
5894;Pegawai 105;Sertifikat Kompetensi;18;05/04/2021;Teknis
5895;Pegawai 488;International Financial Reporting System (IFRS);15;18/03/2021;Teknis
5896;Pegawai 1447;Pemeriksaan Kas;13;05/05/2021;Teknis
5897;Pegawai 923;Kehumasan;10;01/01/2022;Teknis
5898;Pegawai 552;Diklat Pembentukan Jabatan Fungsional Lainya (JFL);15;22/03/2022;Fungsional
5899;Pegawai 583;TABK-Arbutus;11;21/08/2021;Teknis
5900;Pegawai 737;Pemeriksaan LKPD KT;9;22/02/2022;Teknis
5901;Pegawai 1441;Change Management;10;27/10/2022;Teknis
5902;Pegawai 1687;Review CFE;9;26/12/2021;Teknis
5903;Pegawai 1193;Bantuan Hukum dalam proses peradilan;12;24/10/2022;Teknis
5904;Pegawai 370;Pengelolaan Aset Negara (BMN);20;13/02/2022;Teknis
5905;Pegawai 1905;Managing Difficult and Conflict People;14;01/02/2021;Teknis
5906;Pegawai 1355;Workshop persiapan pemeriksaan tematik Program Keluarga Harapan;11;20/03/2022;Teknis
5907;Pegawai 1070;PPSPM Negara Tersertifikasi;11;19/07/2022;Teknis
5908;Pegawai 193;Analisis Pemecahan Masalah;20;23/12/2021;Teknis
5909;Pegawai 1523;Pemeriksaan pajak BUMN jasa karya;19;17/08/2021;Teknis
5910;Pegawai 430;Komunikasi Kepemimpinan;13;02/06/2021;Teknis
5911;Pegawai 685;Effective Leadership;13;18/03/2022;Teknis
5912;Pegawai 1255;Penghitungan Kerugian Negara/Daerah;9;06/02/2022;Teknis
5913;Pegawai 1243;Pemeriksaan Laporan Keuangan Pemerintah Daerah (LKPD) Berbasis Akrual;16;07/07/2021;Teknis
5914;Pegawai 788;Penetapan Kriteria;8;31/08/2021;Teknis
5915;Pegawai 477;Strategic HRM;14;06/08/2022;Teknis
5916;Pegawai 1563;Manajemen Perkantoran;22;24/06/2021;Teknis
5917;Pegawai 1398;Auditor Ahli Akuntansi;22;01/08/2021;Fungsional
5918;Pegawai 1525;Pemeriksaan Badan Usaha Milik Daerah (BUMD);12;15/01/2021;Teknis
5919;Pegawai 923;Penghitungan Kerugian Negara/Daerah;9;06/02/2022;Teknis
5920;Pegawai 1924;TABK Excel;19;10/10/2021;Teknis
5921;Pegawai 1196;Penilaian angka kredit JFP;11;23/04/2022;Teknis
5922;Pegawai 1345;Review CFE;9;26/12/2021;Teknis
5923;Pegawai 460;Kehumasan;10;01/01/2022;Teknis
5924;Pegawai 640;Pemeriksaan Lingkungan (pengelolaan rawa);10;15/10/2022;Teknis
5925;Pegawai 1154;Sekretariat Tim Penilai Angka Kredit JFP;21;08/02/2022;Teknis
5926;Pegawai 1976;Peningkatan Kapasitas Pengelola Museum BPK RI;17;17/05/2022;Teknis
5927;Pegawai 611;Pemrograman Berbasis Web dan Desktop;10;22/07/2022;Teknis
5928;Pegawai 1480;Pemeriksaan investigatif;19;09/05/2021;Teknis
5929;Pegawai 734;Manajemen Perkantoran;22;24/06/2021;Teknis
5930;Pegawai 1079;Public Speaking;10;21/11/2021;Teknis
5931;Pegawai 4;SPKPP;17;31/10/2021;Teknis
5932;Pegawai 1503;TABK-Arbutus;11;21/08/2021;Teknis
5933;Pegawai 1589;Pengelolaan Informasi Publik;9;01/11/2022;Teknis
5934;Pegawai 464;Auditor Ahli Non Akuntansi;19;02/05/2022;Fungsional
5935;Pegawai 302;Evaluasi terhadap KAP yang memeriksa untuk dan atas nama  BPK dan evaluasi terhadap KAP yang memerik;22;13/05/2021;Teknis
5936;Pegawai 120;Review CFE;9;26/12/2021;Teknis
5937;Pegawai 1029;Review CFE;9;26/12/2021;Teknis
