tpa_id;pegawai_nama;tpa_nilai;tpa_tahun
;Pegawai 1521;747;31/12/2021
;Pegawai 1522;594;31/12/2021
;Pegawai 1523;558;31/12/2021
;Pegawai 1524;442;31/12/2021
;Pegawai 1525;507;31/12/2021
;Pegawai 1526;445;31/12/2021
;Pegawai 1527;545;31/12/2021
;Pegawai 1528;766;31/12/2021
;Pegawai 1529;526;31/12/2021
;Pegawai 1530;537;31/12/2021
;Pegawai 1531;544;31/12/2021
;Pegawai 1532;562;31/12/2021
;Pegawai 1533;481;31/12/2021
;Pegawai 1534;597;31/12/2021
;Pegawai 1535;661;31/12/2021
;Pegawai 1536;756;31/12/2021
;Pegawai 1537;735;31/12/2021
;Pegawai 1538;479;31/12/2021
;Pegawai 1539;582;31/12/2021
;Pegawai 1540;528;31/12/2021
;Pegawai 1541;607;31/12/2021
;Pegawai 1542;456;31/12/2021
;Pegawai 1543;800;31/12/2021
;Pegawai 1544;747;31/12/2021
;Pegawai 1545;594;31/12/2021
;Pegawai 1546;561;31/12/2021
;Pegawai 1547;468;31/12/2021
;Pegawai 1548;655;31/12/2021
;Pegawai 1549;605;31/12/2021
;Pegawai 1550;659;31/12/2021
;Pegawai 1551;473;31/12/2021
;Pegawai 1552;577;31/12/2021
;Pegawai 1553;787;31/12/2021
;Pegawai 1554;588;31/12/2021
;Pegawai 1555;792;31/12/2021
;Pegawai 1556;625;31/12/2021
;Pegawai 1557;474;31/12/2021
;Pegawai 1558;500;31/12/2021
;Pegawai 1559;452;31/12/2021
;Pegawai 1560;640;31/12/2021
;Pegawai 1561;505;31/12/2021
;Pegawai 1562;555;31/12/2021
;Pegawai 1563;621;31/12/2021
;Pegawai 1564;667;31/12/2021
;Pegawai 1565;589;31/12/2021
;Pegawai 1566;772;31/12/2021
;Pegawai 1567;422;31/12/2021
;Pegawai 1568;644;31/12/2021
;Pegawai 1569;714;31/12/2021
;Pegawai 1570;569;31/12/2021
;Pegawai 1571;676;31/12/2021
;Pegawai 1572;794;31/12/2021
;Pegawai 1573;465;31/12/2021
;Pegawai 1574;552;31/12/2021
;Pegawai 1575;693;31/12/2021
;Pegawai 1576;442;31/12/2021
;Pegawai 1577;784;31/12/2021
;Pegawai 1578;775;31/12/2021
;Pegawai 1579;503;31/12/2021
;Pegawai 1580;775;31/12/2021
;Pegawai 1581;556;31/12/2021
;Pegawai 1582;554;31/12/2021
;Pegawai 1583;581;31/12/2021
;Pegawai 1584;737;31/12/2021
;Pegawai 1585;628;31/12/2021
;Pegawai 1586;440;31/12/2021
;Pegawai 1587;593;31/12/2021
;Pegawai 1588;487;31/12/2021
;Pegawai 1589;760;31/12/2021
;Pegawai 1590;640;31/12/2021
;Pegawai 1591;612;31/12/2021
;Pegawai 1592;712;31/12/2021
;Pegawai 1593;698;31/12/2021
;Pegawai 1594;544;31/12/2021
;Pegawai 1595;677;31/12/2021
;Pegawai 1596;536;31/12/2021
;Pegawai 1597;745;31/12/2021
;Pegawai 1598;779;31/12/2021
;Pegawai 1599;793;31/12/2021
;Pegawai 1600;653;31/12/2021
;Pegawai 1601;634;31/12/2021
;Pegawai 1602;498;31/12/2021
;Pegawai 1603;799;31/12/2021
;Pegawai 1604;563;31/12/2021
;Pegawai 1605;530;31/12/2021
;Pegawai 1606;796;31/12/2021
;Pegawai 1607;511;31/12/2021
;Pegawai 1608;716;31/12/2021
;Pegawai 1609;638;31/12/2021
;Pegawai 1610;683;31/12/2021
;Pegawai 1611;438;31/12/2021
;Pegawai 1612;417;31/12/2021
;Pegawai 1613;533;31/12/2021
;Pegawai 1614;638;31/12/2021
;Pegawai 1615;664;31/12/2021
;Pegawai 1616;653;31/12/2021
;Pegawai 1617;442;31/12/2021
;Pegawai 1618;486;31/12/2021
;Pegawai 1619;530;31/12/2021
;Pegawai 1620;717;31/12/2021
;Pegawai 1621;689;31/12/2021
;Pegawai 1622;795;31/12/2021
;Pegawai 1623;741;31/12/2021
;Pegawai 1624;551;31/12/2021
;Pegawai 1625;789;31/12/2021
;Pegawai 1626;645;31/12/2021
;Pegawai 1627;414;31/12/2021
;Pegawai 1628;419;31/12/2021
;Pegawai 1629;403;31/12/2021
;Pegawai 1630;799;31/12/2021
;Pegawai 1631;796;31/12/2021
;Pegawai 1632;732;31/12/2021
;Pegawai 1633;737;31/12/2021
;Pegawai 1634;418;31/12/2021
;Pegawai 1635;523;31/12/2021
;Pegawai 1636;720;31/12/2021
;Pegawai 1637;793;31/12/2021
;Pegawai 1638;565;31/12/2021
;Pegawai 1639;487;31/12/2021
;Pegawai 1640;618;31/12/2021
;Pegawai 1641;714;31/12/2021
;Pegawai 1642;688;31/12/2021
;Pegawai 1643;411;31/12/2021
;Pegawai 1644;501;31/12/2021
;Pegawai 1645;515;31/12/2021
;Pegawai 1646;537;31/12/2021
;Pegawai 1647;504;31/12/2021
;Pegawai 1648;758;31/12/2021
;Pegawai 1649;485;31/12/2021
;Pegawai 1650;625;31/12/2021
;Pegawai 1651;442;31/12/2021
;Pegawai 1652;435;31/12/2021
;Pegawai 1653;553;31/12/2021
;Pegawai 1654;742;31/12/2021
;Pegawai 1655;544;31/12/2021
;Pegawai 1656;437;31/12/2021
;Pegawai 1657;786;31/12/2021
;Pegawai 1658;554;31/12/2021
;Pegawai 1659;402;31/12/2021
;Pegawai 1660;622;31/12/2021
;Pegawai 1661;620;31/12/2021
;Pegawai 1662;689;31/12/2021
;Pegawai 1663;651;31/12/2021
;Pegawai 1664;600;31/12/2021
;Pegawai 1665;714;31/12/2021
;Pegawai 1666;535;31/12/2021
;Pegawai 1667;640;31/12/2021
;Pegawai 1668;768;31/12/2021
;Pegawai 1669;447;31/12/2021
;Pegawai 1670;575;31/12/2021
;Pegawai 1671;520;31/12/2021
;Pegawai 1672;679;31/12/2021
;Pegawai 1673;626;31/12/2021
;Pegawai 1674;682;31/12/2021
;Pegawai 1675;464;31/12/2021
;Pegawai 1676;721;31/12/2021
;Pegawai 1677;416;31/12/2021
;Pegawai 1678;798;31/12/2021
;Pegawai 1679;483;31/12/2021
;Pegawai 1680;471;31/12/2021
;Pegawai 1681;472;31/12/2021
;Pegawai 1682;471;31/12/2021
;Pegawai 1683;415;31/12/2021
;Pegawai 1684;686;31/12/2021
;Pegawai 1685;543;31/12/2021
;Pegawai 1686;670;31/12/2021
;Pegawai 1687;772;31/12/2021
;Pegawai 1688;542;31/12/2021
;Pegawai 1689;608;31/12/2021
;Pegawai 1690;779;31/12/2021
;Pegawai 1691;410;31/12/2021
;Pegawai 1692;444;31/12/2021
;Pegawai 1693;703;31/12/2021
;Pegawai 1694;603;31/12/2021
;Pegawai 1695;730;31/12/2021
;Pegawai 1696;421;31/12/2021
;Pegawai 1697;560;31/12/2021
;Pegawai 1698;682;31/12/2021
;Pegawai 1699;463;31/12/2021
;Pegawai 1700;598;31/12/2021
;Pegawai 1701;515;31/12/2021
;Pegawai 1702;652;31/12/2021
;Pegawai 1703;437;31/12/2021
;Pegawai 1704;660;31/12/2021
;Pegawai 1705;658;31/12/2021
;Pegawai 1706;637;31/12/2021
;Pegawai 1707;650;31/12/2021
;Pegawai 1708;581;31/12/2021
;Pegawai 1709;710;31/12/2021
;Pegawai 1710;498;31/12/2021
;Pegawai 1711;720;31/12/2021
;Pegawai 1712;739;31/12/2021
;Pegawai 1713;502;31/12/2021
;Pegawai 1714;481;31/12/2021
;Pegawai 1715;715;31/12/2021
;Pegawai 1716;552;31/12/2021
;Pegawai 1717;446;31/12/2021
;Pegawai 1718;545;31/12/2021
;Pegawai 1719;422;31/12/2021
;Pegawai 1720;517;31/12/2021
;Pegawai 1721;742;31/12/2021
;Pegawai 1722;747;31/12/2021
;Pegawai 1723;596;31/12/2021
;Pegawai 1724;671;31/12/2021
;Pegawai 1725;617;31/12/2021
;Pegawai 1726;755;31/12/2021
;Pegawai 1727;610;31/12/2021
;Pegawai 1728;450;31/12/2021
;Pegawai 1729;792;31/12/2021
;Pegawai 1730;606;31/12/2021
;Pegawai 1731;730;31/12/2021
;Pegawai 1732;662;31/12/2021
;Pegawai 1733;622;31/12/2021
;Pegawai 1734;456;31/12/2021
;Pegawai 1735;502;31/12/2021
;Pegawai 1736;600;31/12/2021
;Pegawai 1737;483;31/12/2021
;Pegawai 1738;504;31/12/2021
;Pegawai 1739;528;31/12/2021
;Pegawai 1740;451;31/12/2021
;Pegawai 1741;557;31/12/2021
;Pegawai 1742;793;31/12/2021
;Pegawai 1743;745;31/12/2021
;Pegawai 1744;497;31/12/2021
;Pegawai 1745;438;31/12/2021
;Pegawai 1746;514;31/12/2021
;Pegawai 1747;783;31/12/2021
;Pegawai 1748;490;31/12/2021
;Pegawai 1749;637;31/12/2021
;Pegawai 1750;720;31/12/2021
;Pegawai 1751;748;31/12/2021
;Pegawai 1752;657;31/12/2021
;Pegawai 1753;739;31/12/2021
;Pegawai 1754;576;31/12/2021
;Pegawai 1755;414;31/12/2021
;Pegawai 1756;488;31/12/2021
;Pegawai 1757;467;31/12/2021
;Pegawai 1758;553;31/12/2021
;Pegawai 1759;693;31/12/2021
;Pegawai 1760;457;31/12/2021
;Pegawai 1761;489;31/12/2021
;Pegawai 1762;733;31/12/2021
;Pegawai 1763;784;31/12/2021
;Pegawai 1764;512;31/12/2021
;Pegawai 1765;790;31/12/2021
;Pegawai 1766;451;31/12/2021
;Pegawai 1767;639;31/12/2021
;Pegawai 1768;629;31/12/2021
;Pegawai 1769;467;31/12/2021
;Pegawai 1770;470;31/12/2021
;Pegawai 1771;475;31/12/2021
;Pegawai 1772;662;31/12/2021
;Pegawai 1773;716;31/12/2021
;Pegawai 1774;476;31/12/2021
;Pegawai 1775;691;31/12/2021
;Pegawai 1776;531;31/12/2021
;Pegawai 1777;484;31/12/2021
;Pegawai 1778;607;31/12/2021
;Pegawai 1779;632;31/12/2021
;Pegawai 1780;742;31/12/2021
;Pegawai 1781;637;31/12/2021
;Pegawai 1782;619;31/12/2021
;Pegawai 1783;756;31/12/2021
;Pegawai 1784;448;31/12/2021
;Pegawai 1785;584;31/12/2021
;Pegawai 1786;522;31/12/2021
;Pegawai 1787;770;31/12/2021
;Pegawai 1788;712;31/12/2021
;Pegawai 1789;791;31/12/2021
;Pegawai 1790;543;31/12/2021
;Pegawai 1791;743;31/12/2021
;Pegawai 1792;571;31/12/2021
;Pegawai 1793;515;31/12/2021
;Pegawai 1794;599;31/12/2021
;Pegawai 1795;727;31/12/2021
;Pegawai 1796;794;31/12/2021
;Pegawai 1797;537;31/12/2021
;Pegawai 1798;449;31/12/2021
;Pegawai 1799;630;31/12/2021
;Pegawai 1800;523;31/12/2021
;Pegawai 1801;742;31/12/2021
;Pegawai 1802;685;31/12/2021
;Pegawai 1803;684;31/12/2021
;Pegawai 1804;778;31/12/2021
;Pegawai 1805;462;31/12/2021
;Pegawai 1806;575;31/12/2021
;Pegawai 1807;495;31/12/2021
;Pegawai 1808;576;31/12/2021
;Pegawai 1809;535;31/12/2021
;Pegawai 1810;701;31/12/2021
;Pegawai 1811;622;31/12/2021
;Pegawai 1812;526;31/12/2021
;Pegawai 1813;537;31/12/2021
;Pegawai 1814;452;31/12/2021
;Pegawai 1815;437;31/12/2021
;Pegawai 1816;736;31/12/2021
;Pegawai 1817;541;31/12/2021
;Pegawai 1818;604;31/12/2021
;Pegawai 1819;726;31/12/2021
;Pegawai 1820;746;31/12/2021
;Pegawai 1821;481;31/12/2021
;Pegawai 1822;622;31/12/2021
;Pegawai 1823;593;31/12/2021
;Pegawai 1824;568;31/12/2021
;Pegawai 1825;769;31/12/2021
;Pegawai 1826;780;31/12/2021
;Pegawai 1827;641;31/12/2021
;Pegawai 1828;435;31/12/2021
;Pegawai 1829;770;31/12/2021
;Pegawai 1830;630;31/12/2021
;Pegawai 1831;449;31/12/2021
;Pegawai 1832;766;31/12/2021
;Pegawai 1833;633;31/12/2021
;Pegawai 1834;477;31/12/2021
;Pegawai 1835;660;31/12/2021
;Pegawai 1836;709;31/12/2021
;Pegawai 1837;606;31/12/2021
;Pegawai 1838;761;31/12/2021
;Pegawai 1839;790;31/12/2021
;Pegawai 1840;429;31/12/2021
;Pegawai 1841;771;31/12/2021
;Pegawai 1842;664;31/12/2021
;Pegawai 1843;489;31/12/2021
;Pegawai 1844;459;31/12/2021
;Pegawai 1845;483;31/12/2021
;Pegawai 1846;586;31/12/2021
;Pegawai 1847;755;31/12/2021
;Pegawai 1848;509;31/12/2021
;Pegawai 1849;454;31/12/2021
;Pegawai 1850;597;31/12/2021
;Pegawai 1851;616;31/12/2021
;Pegawai 1852;772;31/12/2021
;Pegawai 1853;748;31/12/2021
;Pegawai 1854;686;31/12/2021
;Pegawai 1855;736;31/12/2021
;Pegawai 1856;664;31/12/2021
;Pegawai 1857;594;31/12/2021
;Pegawai 1858;767;31/12/2021
;Pegawai 1859;504;31/12/2021
;Pegawai 1860;613;31/12/2021
;Pegawai 1861;496;31/12/2021
;Pegawai 1862;501;31/12/2021
;Pegawai 1863;455;31/12/2021
;Pegawai 1864;688;31/12/2021
;Pegawai 1865;717;31/12/2021
;Pegawai 1866;599;31/12/2021
;Pegawai 1867;468;31/12/2021
;Pegawai 1868;518;31/12/2021
;Pegawai 1869;500;31/12/2021
;Pegawai 1870;684;31/12/2021
;Pegawai 1871;418;31/12/2021
;Pegawai 1872;501;31/12/2021
;Pegawai 1873;661;31/12/2021
;Pegawai 1874;546;31/12/2021
;Pegawai 1875;703;31/12/2021
;Pegawai 1876;714;31/12/2021
;Pegawai 1877;492;31/12/2021
;Pegawai 1878;403;31/12/2021
;Pegawai 1879;728;31/12/2021
;Pegawai 1880;709;31/12/2021
;Pegawai 1881;536;31/12/2021
;Pegawai 1882;510;31/12/2021
;Pegawai 1883;789;31/12/2021
;Pegawai 1884;779;31/12/2021
;Pegawai 1885;740;31/12/2021
;Pegawai 1886;740;31/12/2021
;Pegawai 1887;667;31/12/2021
;Pegawai 1888;485;31/12/2021
;Pegawai 1889;757;31/12/2021
;Pegawai 1890;415;31/12/2021
;Pegawai 1891;407;31/12/2021
;Pegawai 1892;435;31/12/2021
;Pegawai 1893;647;31/12/2021
;Pegawai 1894;562;31/12/2021
;Pegawai 1895;635;31/12/2021
;Pegawai 1896;624;31/12/2021
;Pegawai 1897;613;31/12/2021
;Pegawai 1898;780;31/12/2021
;Pegawai 1899;709;31/12/2021
;Pegawai 1900;764;31/12/2021
;Pegawai 1901;715;31/12/2021
;Pegawai 1902;600;31/12/2021
;Pegawai 1903;514;31/12/2021
;Pegawai 1904;702;31/12/2021
;Pegawai 1905;634;31/12/2021
;Pegawai 1906;539;31/12/2021
;Pegawai 1907;434;31/12/2021
;Pegawai 1908;435;31/12/2021
;Pegawai 1909;640;31/12/2021
;Pegawai 1910;700;31/12/2021
;Pegawai 1911;526;31/12/2021
;Pegawai 1912;752;31/12/2021
;Pegawai 1913;708;31/12/2021
;Pegawai 1914;593;31/12/2021
;Pegawai 1915;440;31/12/2021
;Pegawai 1916;678;31/12/2021
;Pegawai 1917;519;31/12/2021
;Pegawai 1918;407;31/12/2021
;Pegawai 1919;528;31/12/2021
;Pegawai 1920;409;31/12/2021
;Pegawai 1921;414;31/12/2021
;Pegawai 1922;724;31/12/2021
;Pegawai 1923;526;31/12/2021
;Pegawai 1924;492;31/12/2021
;Pegawai 1925;714;31/12/2021
;Pegawai 1926;777;31/12/2021
;Pegawai 1927;739;31/12/2021
;Pegawai 1928;676;31/12/2021
;Pegawai 1929;618;31/12/2021
;Pegawai 1930;618;31/12/2021
;Pegawai 1931;743;31/12/2021
;Pegawai 1932;760;31/12/2021
;Pegawai 1933;711;31/12/2021
;Pegawai 1934;666;31/12/2021
;Pegawai 1935;427;31/12/2021
;Pegawai 1936;701;31/12/2021
;Pegawai 1937;751;31/12/2021
;Pegawai 1938;542;31/12/2021
;Pegawai 1939;699;31/12/2021
;Pegawai 1940;737;31/12/2021
;Pegawai 1941;743;31/12/2021
;Pegawai 1942;675;31/12/2021
;Pegawai 1943;768;31/12/2021
;Pegawai 1944;647;31/12/2021
;Pegawai 1945;716;31/12/2021
;Pegawai 1946;664;31/12/2021
;Pegawai 1947;715;31/12/2021
;Pegawai 1948;701;31/12/2021
;Pegawai 1949;721;31/12/2021
;Pegawai 1950;602;31/12/2021
;Pegawai 1951;443;31/12/2021
;Pegawai 1952;498;31/12/2021
;Pegawai 1953;770;31/12/2021
;Pegawai 1954;436;31/12/2021
;Pegawai 1955;545;31/12/2021
;Pegawai 1956;658;31/12/2021
;Pegawai 1957;753;31/12/2021
;Pegawai 1958;546;31/12/2021
;Pegawai 1959;759;31/12/2021
;Pegawai 1960;521;31/12/2021
;Pegawai 1961;427;31/12/2021
;Pegawai 1962;682;31/12/2021
;Pegawai 1963;720;31/12/2021
;Pegawai 1964;742;31/12/2021
;Pegawai 1965;585;31/12/2021
;Pegawai 1966;725;31/12/2021
;Pegawai 1967;653;31/12/2021
;Pegawai 1968;607;31/12/2021
;Pegawai 1969;515;31/12/2021
;Pegawai 1970;752;31/12/2021
;Pegawai 1971;515;31/12/2021
;Pegawai 1972;679;31/12/2021
;Pegawai 1973;589;31/12/2021
;Pegawai 1974;535;31/12/2021
;Pegawai 1975;473;31/12/2021
;Pegawai 1976;580;31/12/2021
;Pegawai 1977;728;31/12/2021
;Pegawai 1978;448;31/12/2021
;Pegawai 1979;607;31/12/2021
;Pegawai 1980;762;31/12/2021
;Pegawai 1981;661;31/12/2021
;Pegawai 1982;419;31/12/2021
;Pegawai 1983;643;31/12/2021
;Pegawai 1984;713;31/12/2021
;Pegawai 1985;426;31/12/2021
;Pegawai 1986;712;31/12/2021
;Pegawai 1987;765;31/12/2021
;Pegawai 1988;588;31/12/2021
;Pegawai 1989;602;31/12/2021
;Pegawai 1990;750;31/12/2021
;Pegawai 1991;723;31/12/2021
;Pegawai 1992;791;31/12/2021
;Pegawai 1993;775;31/12/2021
;Pegawai 1994;631;31/12/2021
;Pegawai 1995;637;31/12/2021
;Pegawai 1996;763;31/12/2021
;Pegawai 1997;623;31/12/2021
;Pegawai 1998;615;31/12/2021
;Pegawai 1999;688;31/12/2021
;Pegawai 2000;745;31/12/2021
;Pegawai 2001;698;31/12/2021
;Pegawai 0;662;31/12/2022
;Pegawai 1;615;31/12/2022
;Pegawai 2;416;31/12/2022
;Pegawai 3;645;31/12/2022
;Pegawai 4;601;31/12/2022
;Pegawai 5;761;31/12/2022
;Pegawai 6;503;31/12/2022
;Pegawai 7;491;31/12/2022
;Pegawai 8;800;31/12/2022
;Pegawai 9;757;31/12/2022
;Pegawai 10;636;31/12/2022
;Pegawai 11;424;31/12/2022
;Pegawai 12;675;31/12/2022
;Pegawai 13;723;31/12/2022
;Pegawai 14;413;31/12/2022
;Pegawai 15;452;31/12/2022
;Pegawai 16;620;31/12/2022
;Pegawai 17;482;31/12/2022
;Pegawai 18;600;31/12/2022
;Pegawai 19;631;31/12/2022
;Pegawai 20;499;31/12/2022
;Pegawai 21;403;31/12/2022
;Pegawai 22;474;31/12/2022
;Pegawai 23;661;31/12/2022
;Pegawai 24;797;31/12/2022
;Pegawai 25;707;31/12/2022
;Pegawai 26;404;31/12/2022
;Pegawai 27;598;31/12/2022
;Pegawai 28;613;31/12/2022
;Pegawai 29;612;31/12/2022
;Pegawai 30;668;31/12/2022
;Pegawai 31;592;31/12/2022
;Pegawai 32;611;31/12/2022
;Pegawai 33;559;31/12/2022
;Pegawai 34;716;31/12/2022
;Pegawai 35;510;31/12/2022
;Pegawai 36;587;31/12/2022
;Pegawai 37;537;31/12/2022
;Pegawai 38;717;31/12/2022
;Pegawai 39;771;31/12/2022
;Pegawai 40;496;31/12/2022
;Pegawai 41;717;31/12/2022
;Pegawai 42;737;31/12/2022
;Pegawai 43;667;31/12/2022
;Pegawai 44;704;31/12/2022
;Pegawai 45;461;31/12/2022
;Pegawai 46;535;31/12/2022
;Pegawai 47;463;31/12/2022
;Pegawai 48;601;31/12/2022
;Pegawai 49;407;31/12/2022
;Pegawai 50;698;31/12/2022
;Pegawai 51;621;31/12/2022
;Pegawai 52;705;31/12/2022
;Pegawai 53;445;31/12/2022
;Pegawai 54;514;31/12/2022
;Pegawai 55;463;31/12/2022
;Pegawai 56;518;31/12/2022
;Pegawai 57;742;31/12/2022
;Pegawai 58;665;31/12/2022
;Pegawai 59;542;31/12/2022
;Pegawai 60;724;31/12/2022
;Pegawai 61;430;31/12/2022
;Pegawai 62;649;31/12/2022
;Pegawai 63;559;31/12/2022
;Pegawai 64;503;31/12/2022
;Pegawai 65;655;31/12/2022
;Pegawai 66;624;31/12/2022
;Pegawai 67;438;31/12/2022
;Pegawai 68;431;31/12/2022
;Pegawai 69;487;31/12/2022
;Pegawai 70;684;31/12/2022
;Pegawai 71;623;31/12/2022
;Pegawai 72;504;31/12/2022
;Pegawai 73;710;31/12/2022
;Pegawai 74;640;31/12/2022
;Pegawai 75;644;31/12/2022
;Pegawai 76;756;31/12/2022
;Pegawai 77;447;31/12/2022
;Pegawai 78;422;31/12/2022
;Pegawai 79;678;31/12/2022
;Pegawai 80;782;31/12/2022
;Pegawai 81;765;31/12/2022
;Pegawai 82;452;31/12/2022
;Pegawai 83;620;31/12/2022
;Pegawai 84;547;31/12/2022
;Pegawai 85;564;31/12/2022
;Pegawai 86;754;31/12/2022
;Pegawai 87;435;31/12/2022
;Pegawai 88;747;31/12/2022
;Pegawai 89;608;31/12/2022
;Pegawai 90;777;31/12/2022
;Pegawai 91;407;31/12/2022
;Pegawai 92;611;31/12/2022
;Pegawai 93;443;31/12/2022
;Pegawai 94;609;31/12/2022
;Pegawai 95;646;31/12/2022
;Pegawai 96;516;31/12/2022
;Pegawai 97;407;31/12/2022
;Pegawai 98;669;31/12/2022
;Pegawai 99;583;31/12/2022
;Pegawai 100;550;31/12/2022
;Pegawai 101;468;31/12/2022
;Pegawai 102;680;31/12/2022
;Pegawai 103;497;31/12/2022
;Pegawai 104;772;31/12/2022
;Pegawai 105;590;31/12/2022
;Pegawai 106;525;31/12/2022
;Pegawai 107;762;31/12/2022
;Pegawai 108;521;31/12/2022
;Pegawai 109;403;31/12/2022
;Pegawai 110;630;31/12/2022
;Pegawai 111;749;31/12/2022
;Pegawai 112;785;31/12/2022
;Pegawai 113;701;31/12/2022
;Pegawai 114;570;31/12/2022
;Pegawai 115;766;31/12/2022
;Pegawai 116;553;31/12/2022
;Pegawai 117;722;31/12/2022
;Pegawai 118;540;31/12/2022
;Pegawai 119;571;31/12/2022
;Pegawai 120;561;31/12/2022
;Pegawai 121;756;31/12/2022
;Pegawai 122;473;31/12/2022
;Pegawai 123;574;31/12/2022
;Pegawai 124;547;31/12/2022
;Pegawai 125;542;31/12/2022
;Pegawai 126;779;31/12/2022
;Pegawai 127;665;31/12/2022
;Pegawai 128;540;31/12/2022
;Pegawai 129;574;31/12/2022
;Pegawai 130;474;31/12/2022
;Pegawai 131;602;31/12/2022
;Pegawai 132;682;31/12/2022
;Pegawai 133;761;31/12/2022
;Pegawai 134;724;31/12/2022
;Pegawai 135;584;31/12/2022
;Pegawai 136;696;31/12/2022
;Pegawai 137;727;31/12/2022
;Pegawai 138;771;31/12/2022
;Pegawai 139;441;31/12/2022
;Pegawai 140;478;31/12/2022
;Pegawai 141;651;31/12/2022
;Pegawai 142;647;31/12/2022
;Pegawai 143;537;31/12/2022
;Pegawai 144;466;31/12/2022
;Pegawai 145;419;31/12/2022
;Pegawai 146;567;31/12/2022
;Pegawai 147;473;31/12/2022
;Pegawai 148;709;31/12/2022
;Pegawai 149;507;31/12/2022
;Pegawai 150;628;31/12/2022
;Pegawai 151;484;31/12/2022
;Pegawai 152;617;31/12/2022
;Pegawai 153;597;31/12/2022
;Pegawai 154;777;31/12/2022
;Pegawai 155;631;31/12/2022
;Pegawai 156;635;31/12/2022
;Pegawai 157;594;31/12/2022
;Pegawai 158;750;31/12/2022
;Pegawai 159;424;31/12/2022
;Pegawai 160;409;31/12/2022
;Pegawai 161;450;31/12/2022
;Pegawai 162;644;31/12/2022
;Pegawai 163;620;31/12/2022
;Pegawai 164;747;31/12/2022
;Pegawai 165;698;31/12/2022
;Pegawai 166;666;31/12/2022
;Pegawai 167;530;31/12/2022
;Pegawai 168;718;31/12/2022
;Pegawai 169;519;31/12/2022
;Pegawai 170;563;31/12/2022
;Pegawai 171;664;31/12/2022
;Pegawai 172;771;31/12/2022
;Pegawai 173;781;31/12/2022
;Pegawai 174;784;31/12/2022
;Pegawai 175;494;31/12/2022
;Pegawai 176;640;31/12/2022
;Pegawai 177;450;31/12/2022
;Pegawai 178;757;31/12/2022
;Pegawai 179;684;31/12/2022
;Pegawai 180;475;31/12/2022
;Pegawai 181;793;31/12/2022
;Pegawai 182;509;31/12/2022
;Pegawai 183;464;31/12/2022
;Pegawai 184;543;31/12/2022
;Pegawai 185;739;31/12/2022
;Pegawai 186;449;31/12/2022
;Pegawai 187;564;31/12/2022
;Pegawai 188;523;31/12/2022
;Pegawai 189;528;31/12/2022
;Pegawai 190;460;31/12/2022
;Pegawai 191;633;31/12/2022
;Pegawai 192;642;31/12/2022
;Pegawai 193;575;31/12/2022
;Pegawai 194;752;31/12/2022
;Pegawai 195;617;31/12/2022
;Pegawai 196;457;31/12/2022
;Pegawai 197;752;31/12/2022
;Pegawai 198;643;31/12/2022
;Pegawai 199;646;31/12/2022
;Pegawai 200;719;31/12/2022
;Pegawai 201;789;31/12/2022
;Pegawai 202;631;31/12/2022
;Pegawai 203;654;31/12/2022
;Pegawai 204;800;31/12/2022
;Pegawai 205;540;31/12/2022
;Pegawai 206;596;31/12/2022
;Pegawai 207;609;31/12/2022
;Pegawai 208;597;31/12/2022
;Pegawai 209;470;31/12/2022
;Pegawai 210;474;31/12/2022
;Pegawai 211;798;31/12/2022
;Pegawai 212;465;31/12/2022
;Pegawai 213;497;31/12/2022
;Pegawai 214;650;31/12/2022
;Pegawai 215;797;31/12/2022
;Pegawai 216;655;31/12/2022
;Pegawai 217;566;31/12/2022
;Pegawai 218;790;31/12/2022
;Pegawai 219;656;31/12/2022
;Pegawai 220;718;31/12/2022
;Pegawai 221;723;31/12/2022
;Pegawai 222;597;31/12/2022
;Pegawai 223;693;31/12/2022
;Pegawai 224;705;31/12/2022
;Pegawai 225;617;31/12/2022
;Pegawai 226;770;31/12/2022
;Pegawai 227;466;31/12/2022
;Pegawai 228;616;31/12/2022
;Pegawai 229;796;31/12/2022
;Pegawai 230;715;31/12/2022
;Pegawai 231;784;31/12/2022
;Pegawai 232;691;31/12/2022
;Pegawai 233;612;31/12/2022
;Pegawai 234;663;31/12/2022
;Pegawai 235;500;31/12/2022
;Pegawai 236;604;31/12/2022
;Pegawai 237;550;31/12/2022
;Pegawai 238;500;31/12/2022
;Pegawai 239;668;31/12/2022
;Pegawai 240;705;31/12/2022
;Pegawai 241;728;31/12/2022
;Pegawai 242;746;31/12/2022
;Pegawai 243;402;31/12/2022
;Pegawai 244;713;31/12/2022
;Pegawai 245;427;31/12/2022
;Pegawai 246;432;31/12/2022
;Pegawai 247;715;31/12/2022
;Pegawai 248;669;31/12/2022
;Pegawai 249;597;31/12/2022
;Pegawai 250;748;31/12/2022
;Pegawai 251;549;31/12/2022
;Pegawai 252;523;31/12/2022
;Pegawai 253;487;31/12/2022
;Pegawai 254;590;31/12/2022
;Pegawai 255;431;31/12/2022
;Pegawai 256;686;31/12/2022
;Pegawai 257;500;31/12/2022
;Pegawai 258;424;31/12/2022
;Pegawai 259;581;31/12/2022
;Pegawai 260;517;31/12/2022
;Pegawai 261;566;31/12/2022
;Pegawai 262;658;31/12/2022
;Pegawai 263;790;31/12/2022
;Pegawai 264;478;31/12/2022
;Pegawai 265;508;31/12/2022
;Pegawai 266;567;31/12/2022
;Pegawai 267;430;31/12/2022
