pegawai_id;pegawai_nama;pegawai_pendidikan;jabatan_nama;perwakilan;usia;tgl_masuk;tgl_keluar;;;
975;Pegawai 974;S2;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Jawa Tengah;39;21/09/2019;-;;;
976;Pegawai 975;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Banten;46;18/08/2021;-;;;
977;Pegawai 976;D4;Pemeriksa Utama;BPK Perwakilan Provinsi Sulawesi Tengah;57;29/03/2019;-;;;
978;Pegawai 977;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Kepulauan Riau;31;25/09/2021;-;;;
979;Pegawai 978;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi Riau;42;03/12/2021;-;;;
980;Pegawai 979;S2;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Jambi;54;12/08/2020;-;;;
981;Pegawai 980;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Kalimantan Barat;23;19/04/2019;-;;;
982;Pegawai 981;S2;Pemeriksa Pertama;BPK Perwakilan Provinsi DI Yogyakarta;50;07/04/2021;-;;;
983;Pegawai 982;S1;Pemeriksa Muda;BPK Perwakilan Provinsi Kalimantan Utara;39;09/12/2018;09/12/2022;;;
984;Pegawai 983;S2;Pranata Komputer Muda ;BPK Perwakilan Provinsi Kalimantan Tengah;56;14/09/2021;-;;;
985;Pegawai 984;S1;Pranata Komputer Muda ;BPK Perwakilan Provinsi Bali;50;20/01/2019;-;;;
986;Pegawai 985;D4;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Bali;56;25/11/2021;-;;;
987;Pegawai 986;D4;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Maluku;23;16/12/2019;-;;;
988;Pegawai 987;S2;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Kalimantan Barat;44;08/06/2020;-;;;
989;Pegawai 988;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sulawesi Barat;48;28/04/2018;28/04/2022;;;
990;Pegawai 989;S2;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Nusa Tenggara Timur;39;11/08/2019;-;;;
991;Pegawai 990;D4;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Nusa Tenggara Barat;46;26/09/2019;-;;;
992;Pegawai 991;S1;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Kalimantan Selatan;51;25/03/2020;-;;;
993;Pegawai 992;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Kalimantan Selatan;23;07/01/2018;07/01/2022;;;
994;Pegawai 993;D4;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Sumatera Selatan;30;14/04/2019;-;;;
995;Pegawai 994;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Maluku Utara;31;12/07/2021;-;;;
996;Pegawai 995;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Sumatera Selatan;50;10/10/2018;10/10/2022;;;
997;Pegawai 996;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Sumatera Selatan;30;29/09/2018;29/09/2022;;;
998;Pegawai 997;D4;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Kalimantan Utara;21;25/12/2019;-;;;
999;Pegawai 998;S2;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Jawa Tengah;30;24/08/2020;-;;;
1000;Pegawai 999;D4;Pemeriksa Muda;BPK Perwakilan Provinsi Papua;54;03/08/2018;03/08/2022;;;
1001;Pegawai 1000;S2;Arsiparis Muda ;BPK Perwakilan Provinsi Jambi;35;14/06/2019;-;;;
1002;Pegawai 1001;D4;Pemeriksa Pertama;BPK Perwakilan Provinsi Kalimantan Utara;48;20/09/2019;-;;;
1003;Pegawai 1002;S2;Pranata Komputer Muda ;BPK Perwakilan Provinsi Banten;25;16/09/2019;-;;;
1004;Pegawai 1003;D4;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Sulawesi Tenggara;32;04/06/2021;-;;;
1005;Pegawai 1004;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Gorontalo;38;04/02/2019;-;;;
1006;Pegawai 1005;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Sulawesi Tenggara;58;24/06/2020;-;;;
1007;Pegawai 1006;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Kalimantan Selatan;33;30/06/2020;-;;;
1008;Pegawai 1007;S1;Pranata Komputer Muda ;BPK Perwakilan Provinsi Sumatera Barat;34;27/10/2021;-;;;
1009;Pegawai 1008;S2;Arsiparis Muda ;BPK Perwakilan Provinsi Riau;49;16/05/2020;-;;;
1010;Pegawai 1009;S2;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sulawesi Barat;31;11/09/2019;-;;;
1011;Pegawai 1010;S2;Pemeriksa Madya;BPK Perwakilan Provinsi Sulawesi Selatan;46;01/04/2020;-;;;
1012;Pegawai 1011;S2;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Kalimantan Barat;38;19/08/2019;-;;;
1013;Pegawai 1012;D4;Pemeriksa Utama;BPK Perwakilan Provinsi Kalimantan Utara;22;15/01/2021;-;;;
1014;Pegawai 1013;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Kalimantan Selatan;40;28/09/2021;-;;;
1015;Pegawai 1014;S2;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Bangka Belitung;52;10/03/2021;-;;;
1016;Pegawai 1015;S2;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Bali;31;21/05/2021;-;;;
1017;Pegawai 1016;D4;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Bengkulu;24;07/08/2019;-;;;
1018;Pegawai 1017;S2;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Gorontalo;54;09/03/2020;-;;;
1019;Pegawai 1018;S2;Arsiparis Muda ;BPK Perwakilan Provinsi Maluku Utara;54;21/02/2018;21/02/2022;;;
1020;Pegawai 1019;S2;Pemeriksa Madya;BPK Perwakilan Provinsi Riau;30;14/10/2021;-;;;
1021;Pegawai 1020;S1;Pranata Komputer Muda ;BPK Perwakilan Provinsi Gorontalo;36;26/09/2018;26/09/2022;;;
1022;Pegawai 1021;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sumatera Barat;38;16/02/2022;-;;;
1023;Pegawai 1022;S2;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi DKI Jakarta;49;25/02/2018;25/02/2022;;;
1024;Pegawai 1023;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Maluku;26;19/08/2020;-;;;
1025;Pegawai 1024;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Sulawesi Tengah;37;21/10/2018;21/10/2022;;;
1026;Pegawai 1025;D4;Pranata Komputer Muda ;BPK Perwakilan Provinsi Sumatera Barat;44;23/03/2021;-;;;
1027;Pegawai 1026;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Banten;51;04/07/2018;04/07/2022;;;
1028;Pegawai 1027;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Aceh;31;25/12/2021;-;;;
1029;Pegawai 1028;S2;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Kalimantan Selatan;30;21/02/2018;21/02/2022;;;
1030;Pegawai 1029;S1;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Kalimantan Tengah;21;17/11/2019;-;;;
1031;Pegawai 1030;S1;Pemeriksa Utama;BPK Perwakilan Provinsi DKI Jakarta;21;05/02/2020;-;;;
1032;Pegawai 1031;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Bali;55;28/11/2020;-;;;
1033;Pegawai 1032;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Aceh;56;03/07/2021;-;;;
1034;Pegawai 1033;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi Sulawesi Utara;54;19/01/2021;-;;;
1035;Pegawai 1034;S1;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Jambi;42;06/06/2019;-;;;
1036;Pegawai 1035;D4;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Lampung;26;11/01/2019;-;;;
1037;Pegawai 1036;S2;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Sulawesi Tenggara;58;07/09/2018;07/09/2022;;;
1038;Pegawai 1037;D4;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Bengkulu;21;04/10/2021;-;;;
1039;Pegawai 1038;D4;Pemeriksa Pertama;BPK Perwakilan Provinsi Sulawesi Selatan;21;07/01/2018;07/01/2022;;;
1040;Pegawai 1039;S1;Pranata Komputer Terampil ;BPK Perwakilan Provinsi DKI Jakarta;48;12/08/2021;-;;;
1041;Pegawai 1040;S2;Pemeriksa Pertama;BPK Perwakilan Provinsi Sulawesi Utara;31;12/05/2018;12/05/2022;;;
1042;Pegawai 1041;S2;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Papua Barat;49;25/03/2022;-;;;
1043;Pegawai 1042;S1;Pemeriksa Utama;BPK Perwakilan Provinsi DI Yogyakarta;35;10/07/2018;10/07/2022;;;
1044;Pegawai 1043;S2;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Bali;58;28/05/2018;28/05/2022;;;
1045;Pegawai 1044;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi DI Yogyakarta;26;25/01/2021;-;;;
1046;Pegawai 1045;D4;Pemeriksa Madya;BPK Perwakilan Provinsi DKI Jakarta;58;13/02/2019;-;;;
1047;Pegawai 1046;S1;Pranata Komputer Muda ;BPK Perwakilan Provinsi DKI Jakarta;30;28/03/2020;-;;;
1048;Pegawai 1047;S2;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Jambi;58;21/08/2018;21/08/2022;;;
1049;Pegawai 1048;S2;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Kepulauan Riau;25;06/07/2021;-;;;
1050;Pegawai 1049;S1;Pemeriksa Muda;BPK Perwakilan Provinsi Sulawesi Tenggara;49;29/09/2021;-;;;
1051;Pegawai 1050;S2;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Bali;32;26/12/2021;-;;;
1052;Pegawai 1051;D4;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Sumatera Selatan;47;25/10/2019;-;;;
1053;Pegawai 1052;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi DKI Jakarta;24;05/01/2022;-;;;
1054;Pegawai 1053;S2;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Papua Barat;25;09/01/2021;-;;;
1055;Pegawai 1054;S2;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Papua Barat;45;05/05/2018;05/05/2022;;;
1056;Pegawai 1055;D4;Pranata Komputer Muda ;BPK Perwakilan Provinsi Sulawesi Barat;39;10/12/2019;-;;;
1057;Pegawai 1056;S2;Pemeriksa Muda;BPK Perwakilan Provinsi Kalimantan Selatan;58;09/11/2019;-;;;
1058;Pegawai 1057;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sumatera Selatan;35;28/04/2021;-;;;
1059;Pegawai 1058;S1;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Sulawesi Tenggara;31;21/09/2021;-;;;
1060;Pegawai 1059;S1;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Nusa Tenggara Barat;51;13/10/2018;13/10/2022;;;
1061;Pegawai 1060;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Kalimantan Timur;58;04/08/2020;-;;;
1062;Pegawai 1061;D4;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Sulawesi Barat;25;10/05/2022;-;;;
1063;Pegawai 1062;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Sumatera Utara;28;25/05/2018;25/05/2022;;;
1064;Pegawai 1063;S1;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Jawa Timur;38;16/04/2022;-;;;
1065;Pegawai 1064;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Kalimantan Timur;31;15/07/2018;15/07/2022;;;
1066;Pegawai 1065;S2;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Sulawesi Barat;34;19/06/2020;-;;;
1067;Pegawai 1066;D4;Pemeriksa Utama;BPK Perwakilan Provinsi Maluku;46;12/08/2018;12/08/2022;;;
1068;Pegawai 1067;S2;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Maluku;30;08/11/2020;-;;;
1069;Pegawai 1068;S1;Arsiparis Muda ;BPK Perwakilan Provinsi Sulawesi Tenggara;46;26/08/2019;-;;;
1070;Pegawai 1069;S2;Pranata Komputer Pertama ;BPK Perwakilan Provinsi DI Yogyakarta;35;05/01/2022;-;;;
1071;Pegawai 1070;S1;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Lampung;26;03/08/2018;03/08/2022;;;
1072;Pegawai 1071;S1;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Nusa Tenggara Barat;41;12/02/2018;12/02/2022;;;
1073;Pegawai 1072;D4;Pemeriksa Muda;BPK Perwakilan Provinsi Nusa Tenggara Barat;40;31/12/2020;-;;;
1074;Pegawai 1073;S1;Pemeriksa Muda;BPK Perwakilan Provinsi Maluku Utara;24;26/04/2021;-;;;
1075;Pegawai 1074;S2;Pemeriksa Muda;BPK Perwakilan Provinsi Sulawesi Barat;25;07/09/2021;-;;;
1076;Pegawai 1075;S2;Pemeriksa Pertama;BPK Perwakilan Provinsi Sulawesi Tengah;52;24/06/2021;-;;;
1077;Pegawai 1076;S2;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Kalimantan Utara;53;17/02/2019;-;;;
1078;Pegawai 1077;S1;Arsiparis Muda ;BPK Perwakilan Provinsi Sumatera Selatan;29;17/05/2022;-;;;
1079;Pegawai 1078;S1;Pemeriksa Utama;BPK Perwakilan Provinsi Sulawesi Tengah;37;02/02/2021;-;;;
1080;Pegawai 1079;D4;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Kalimantan Barat;42;09/01/2020;-;;;
1081;Pegawai 1080;S2;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Sumatera Utara;32;17/11/2021;-;;;
1082;Pegawai 1081;D4;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Sulawesi Barat;27;06/08/2018;06/08/2022;;;
1083;Pegawai 1082;S2;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Nusa Tenggara Timur;35;10/05/2018;10/05/2022;;;
1084;Pegawai 1083;S2;Arsiparis Muda ;BPK Perwakilan Provinsi Papua Barat;37;15/04/2019;-;;;
1085;Pegawai 1084;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Lampung;54;18/05/2022;-;;;
1086;Pegawai 1085;S1;Pemeriksa Muda;BPK Perwakilan Provinsi Nusa Tenggara Timur;55;07/07/2018;07/07/2022;;;
1087;Pegawai 1086;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sumatera Selatan;53;06/10/2018;06/10/2022;;;
1088;Pegawai 1087;S2;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Sumatera Selatan;55;28/05/2020;-;;;
1089;Pegawai 1088;S1;Pemeriksa Madya;BPK Perwakilan Provinsi Banten;27;11/02/2020;-;;;
1090;Pegawai 1089;S1;Pemeriksa Madya;BPK Perwakilan Provinsi Jawa Timur;46;05/05/2020;-;;;
1091;Pegawai 1090;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Kalimantan Barat;41;22/01/2019;-;;;
1092;Pegawai 1091;D4;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Sulawesi Utara;24;14/05/2018;14/05/2022;;;
1093;Pegawai 1092;S2;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Sulawesi Selatan;43;08/04/2021;-;;;
1094;Pegawai 1093;S2;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Sulawesi Utara;29;12/05/2018;12/05/2022;;;
1095;Pegawai 1094;S2;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Sulawesi Tengah;44;23/04/2021;-;;;
1096;Pegawai 1095;D4;Pemeriksa Utama;BPK Perwakilan Provinsi Kalimantan Utara;52;28/10/2020;-;;;
1097;Pegawai 1096;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi Sulawesi Selatan;33;17/07/2022;-;;;
1098;Pegawai 1097;D4;Pranata Komputer Muda ;BPK Perwakilan Provinsi Jambi;46;15/07/2021;-;;;
1099;Pegawai 1098;S1;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Sulawesi Selatan;38;31/03/2018;31/03/2022;;;
1100;Pegawai 1099;S2;Pemeriksa Muda;BPK Perwakilan Provinsi Sulawesi Tengah;55;01/06/2020;-;;;
1101;Pegawai 1100;S2;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Kepulauan Riau;30;16/04/2020;-;;;
1102;Pegawai 1101;S2;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Lampung;41;27/10/2020;-;;;
1103;Pegawai 1102;S2;Pemeriksa Pertama;BPK Perwakilan Provinsi Riau;25;26/04/2018;26/04/2022;;;
1104;Pegawai 1103;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Riau;51;22/12/2018;-;;;
1105;Pegawai 1104;S1;Pemeriksa Muda;BPK Perwakilan Provinsi Sulawesi Barat;42;18/06/2021;-;;;
1106;Pegawai 1105;S1;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Aceh;37;25/03/2022;-;;;
1107;Pegawai 1106;S1;Pemeriksa Utama;BPK Perwakilan Provinsi Jawa Timur;21;07/08/2019;-;;;
1108;Pegawai 1107;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi DI Yogyakarta;48;30/03/2020;-;;;
1109;Pegawai 1108;S2;Pemeriksa Muda;BPK Perwakilan Provinsi Sulawesi Tenggara;50;25/01/2022;-;;;
1110;Pegawai 1109;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Nusa Tenggara Timur;55;03/12/2021;-;;;
1111;Pegawai 1110;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi Kalimantan Utara;40;19/02/2020;-;;;
1112;Pegawai 1111;S2;Pemeriksa Madya;BPK Perwakilan Provinsi Sumatera Utara;47;01/01/2021;-;;;
1113;Pegawai 1112;S2;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi DKI Jakarta;56;22/07/2018;22/07/2022;;;
1114;Pegawai 1113;S2;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Papua Barat;27;30/09/2021;-;;;
1115;Pegawai 1114;D4;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Nusa Tenggara Barat;39;13/02/2019;-;;;
1116;Pegawai 1115;D4;Pemeriksa Utama;BPK Perwakilan Provinsi Riau;51;01/03/2019;-;;;
1117;Pegawai 1116;S2;Pranata Komputer Muda ;BPK Perwakilan Provinsi Kalimantan Tengah;27;09/11/2021;-;;;
1118;Pegawai 1117;S1;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Kalimantan Barat;47;16/12/2018;-;;;
1119;Pegawai 1118;D4;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Bangka Belitung;28;24/05/2021;-;;;
1120;Pegawai 1119;D4;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sulawesi Selatan;44;06/08/2020;-;;;
1121;Pegawai 1120;S1;Pemeriksa Utama;BPK Perwakilan Provinsi Maluku Utara;23;03/04/2020;-;;;
1122;Pegawai 1121;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Maluku Utara;48;15/08/2021;-;;;
1123;Pegawai 1122;S2;Pemeriksa Muda;BPK Perwakilan Provinsi Jawa Tengah;33;17/05/2021;-;;;
1124;Pegawai 1123;S2;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Maluku;24;17/09/2020;-;;;
1125;Pegawai 1124;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Aceh;58;04/08/2018;04/08/2022;;;
1126;Pegawai 1125;D4;Pemeriksa Muda;BPK Perwakilan Provinsi Sulawesi Selatan;46;24/06/2021;-;;;
1127;Pegawai 1126;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Bali;30;25/03/2022;-;;;
1128;Pegawai 1127;S1;Pranata Komputer Muda ;BPK Perwakilan Provinsi Sulawesi Barat;34;24/10/2021;-;;;
1129;Pegawai 1128;S2;Pemeriksa Madya;BPK Perwakilan Provinsi Sumatera Barat;29;24/06/2020;-;;;
1130;Pegawai 1129;S2;Pemeriksa Madya;BPK Perwakilan Provinsi Sumatera Selatan;49;09/10/2018;09/10/2022;;;
1131;Pegawai 1130;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Papua;32;28/11/2020;-;;;
1132;Pegawai 1131;S1;Pemeriksa Muda;BPK Perwakilan Provinsi Maluku;46;07/01/2022;-;;;
1133;Pegawai 1132;S2;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Kalimantan Timur;24;18/07/2020;-;;;
1134;Pegawai 1133;D4;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Nusa Tenggara Timur;41;07/08/2019;-;;;
1135;Pegawai 1134;S1;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Kalimantan Timur;55;25/12/2018;-;;;
1136;Pegawai 1135;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Kepulauan Riau;29;13/01/2021;-;;;
1137;Pegawai 1136;S2;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sulawesi Selatan;25;08/08/2019;-;;;
1138;Pegawai 1137;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Banten;41;21/01/2019;-;;;
1139;Pegawai 1138;S1;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Bengkulu;39;24/03/2019;-;;;
1140;Pegawai 1139;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Kalimantan Selatan;21;03/01/2019;-;;;
1141;Pegawai 1140;D4;Pranata Komputer Muda ;BPK Perwakilan Provinsi Sulawesi Tenggara;35;06/07/2018;06/07/2022;;;
1142;Pegawai 1141;S2;Pemeriksa Pertama;BPK Perwakilan Provinsi Aceh;46;09/05/2019;-;;;
1143;Pegawai 1142;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Kalimantan Tengah;24;27/03/2018;27/03/2022;;;
1144;Pegawai 1143;D4;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Banten;21;13/03/2021;-;;;
1145;Pegawai 1144;S2;Pemeriksa Utama;BPK Perwakilan Provinsi Maluku;24;27/03/2019;-;;;
1146;Pegawai 1145;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi DI Yogyakarta;35;26/05/2021;-;;;
1147;Pegawai 1146;S2;Pemeriksa Madya;BPK Perwakilan Provinsi Sulawesi Tengah;36;09/03/2020;-;;;
1148;Pegawai 1147;S2;Pemeriksa Muda;BPK Perwakilan Provinsi Banten;48;11/02/2019;-;;;
1149;Pegawai 1148;S1;Arsiparis Muda ;BPK Perwakilan Provinsi DI Yogyakarta;26;25/01/2019;-;;;
1150;Pegawai 1149;S2;Pemeriksa Muda;BPK Perwakilan Provinsi Kalimantan Selatan;56;12/08/2020;-;;;
1151;Pegawai 1150;S1;Pemeriksa Muda;BPK Perwakilan Provinsi Papua Barat;41;25/02/2022;-;;;
1152;Pegawai 1151;S2;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Jawa Tengah;25;11/05/2020;-;;;
1153;Pegawai 1152;S1;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Sulawesi Tengah;28;28/11/2020;-;;;
1154;Pegawai 1153;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Bali;29;11/05/2020;-;;;
1155;Pegawai 1154;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Gorontalo;57;11/05/2018;11/05/2022;;;
1156;Pegawai 1155;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Kalimantan Timur;45;26/04/2022;-;;;
1157;Pegawai 1156;S1;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Kepulauan Riau;30;15/08/2019;-;;;
1158;Pegawai 1157;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Gorontalo;22;23/04/2021;-;;;
1159;Pegawai 1158;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Sumatera Utara;22;29/06/2021;-;;;
1160;Pegawai 1159;S1;Pemeriksa Madya;BPK Perwakilan Provinsi Banten;53;15/12/2021;-;;;
1161;Pegawai 1160;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi Nusa Tenggara Barat;25;02/09/2019;-;;;
1162;Pegawai 1161;D4;Pemeriksa Muda;BPK Perwakilan Provinsi Banten;39;28/02/2021;-;;;
1163;Pegawai 1162;S1;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Kalimantan Tengah;37;05/05/2018;05/05/2022;;;
1164;Pegawai 1163;S2;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sulawesi Tenggara;38;17/03/2021;-;;;
1165;Pegawai 1164;D4;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Jawa Tengah;28;30/12/2020;-;;;
1166;Pegawai 1165;D4;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Jawa Timur;31;24/01/2020;-;;;
1167;Pegawai 1166;D4;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Jawa Timur;58;16/01/2019;-;;;
1168;Pegawai 1167;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Gorontalo;31;17/08/2020;-;;;
1169;Pegawai 1168;D4;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Jawa Barat;31;16/10/2018;16/10/2022;;;
1170;Pegawai 1169;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Jawa Barat;51;11/08/2021;-;;;
1171;Pegawai 1170;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi Lampung;29;29/12/2021;-;;;
1172;Pegawai 1171;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Sulawesi Barat;23;20/03/2020;-;;;
1173;Pegawai 1172;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi Bengkulu;22;10/12/2018;10/12/2022;;;
1174;Pegawai 1173;S2;Pemeriksa Utama;BPK Perwakilan Provinsi Papua;58;16/11/2018;16/11/2022;;;
1175;Pegawai 1174;S1;Pranata Komputer Muda ;BPK Perwakilan Provinsi Kalimantan Selatan;45;29/12/2019;-;;;
1176;Pegawai 1175;S1;Arsiparis Muda ;BPK Perwakilan Provinsi Maluku Utara;34;20/09/2021;-;;;
1177;Pegawai 1176;D4;Pemeriksa Pertama;BPK Perwakilan Provinsi Nusa Tenggara Timur;56;10/09/2021;-;;;
1178;Pegawai 1177;D4;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Jawa Barat;51;25/06/2020;-;;;
1179;Pegawai 1178;S2;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Papua;24;06/04/2018;06/04/2022;;;
