pegawai_sertifikasi_id;pegawai_nama;sertifikasi_nama;pegawai_serti;Sertifikasi_akhir
;Pegawai 1245;Certified Human Resources Analyst;12/01/2020;31/12/2029
;Pegawai 1634;Certificate in International Public Sector Accounting Standards;19/01/2019;31/12/2029
;Pegawai 463;Certified Internal Control Auditor;17/03/2019;31/12/2029
;Pegawai 236;Certification in Risk Management Assurance;10/11/2021;31/12/2029
;Pegawai 1216;Certified Human Resources Professional;10/12/2021;31/12/2029
;Pegawai 282;Enterprise Risk Management Certified Professional;08/06/2022;31/12/2029
;Pegawai 1013;Certificate in International Public Sector Accounting Standards;24/10/2018;31/12/2029
;Pegawai 714;Certificate in International Auditing;01/05/2019;31/12/2029
;Pegawai 984;Advanced Diploma in Forensic Accounting - Level 5;08/01/2019;31/12/2029
;Pegawai 145;Associate Certified Public Accountant;24/10/2022;31/12/2029
;Pegawai 292;Certified Pernyataan Standar Akuntansi Keuangan;19/12/2018;31/12/2029
;Pegawai 1654;Certified Risk Professional;09/05/2021;31/12/2029
;Pegawai 1122;ASEAN Chartered Professional Accountant;07/02/2018;31/12/2029
;Pegawai 350;Certified Forensic Auditor;20/01/2018;31/12/2029
;Pegawai 1154;Certified Professional Management Accountant;16/07/2021;31/12/2029
;Pegawai 301;Certified Manpower Planner;30/12/2019;31/12/2029
;Pegawai 1278;ASEAN Chartered Professional Accountant;20/10/2018;31/12/2029
;Pegawai 963;Certificate in International Public Sector Accounting Standards;24/12/2022;31/12/2029
;Pegawai 1021;Certified Human Resources Management Professional;26/01/2021;31/12/2029
;Pegawai 750;Certified Professional Coach;19/05/2018;31/12/2029
;Pegawai 1472;AccessData Certified Examiner;15/03/2019;31/12/2029
;Pegawai 385;Certified Government Chief Audit Executive;11/07/2018;31/12/2029
;Pegawai 1355;Governance Risk Management and Compliance Professional;25/03/2018;31/12/2029
;Pegawai 1722;Associate Certified Public Accountant;24/01/2018;31/12/2029
;Pegawai 1952;AccessData Certified Examiner;16/09/2020;31/12/2029
;Pegawai 1864;Certified Sustainability Reporting Specialist;16/05/2018;31/12/2029
;Pegawai 856;Certification in Control Self-Assessment;29/01/2018;31/12/2029
;Pegawai 1958;Ahli Akuntansi Pemerintahan A;26/08/2019;31/12/2029
;Pegawai 721;Certified Manpower Planner;16/04/2020;31/12/2029
;Pegawai 716;Certified Human Resources Management Professional;20/02/2022;31/12/2029
;Pegawai 1947;Certified Procurement Specialist;29/06/2018;31/12/2029
;Pegawai 791;Certified Legal Auditor;13/02/2018;31/12/2029
;Pegawai 1645;Certified Human Resources Professional;27/02/2018;31/12/2029
;Pegawai 769;Cerified Sustainability Reporting Assurer;19/03/2021;31/12/2029
;Pegawai 472;Cerified Sustainability Reporting Assurer;18/11/2020;31/12/2029
;Pegawai 366;Certified Secure Computer User;31/07/2019;31/12/2029
;Pegawai 1478;Certified State Finance Auditor;16/05/2022;31/12/2029
;Pegawai 928;Certified Ethical Hacker;08/03/2018;31/12/2029
;Pegawai 1577;Cellebrite Certified Physical Analyst;08/09/2019;31/12/2029
;Pegawai 313;Certified Sustainability Reporting Specialist;06/09/2018;31/12/2029
;Pegawai 1169;Certificate in International Public Sector Accounting Standards;29/03/2022;31/12/2029
;Pegawai 435;Certificate in International Public Sector Accounting Standards;12/04/2021;31/12/2029
;Pegawai 1673;Certified Professional Management Accountant;03/06/2022;31/12/2029
;Pegawai 1675;Chartered Accountant;04/02/2021;31/12/2029
;Pegawai 1594;Certified Legal Auditor;13/05/2018;31/12/2029
;Pegawai 334;Advanced Diploma in Forensic Accounting - Level 5;06/07/2019;31/12/2029
;Pegawai 1112;Certificate in International Auditing;07/11/2020;31/12/2029
;Pegawai 74;Certified Contract Management Specialist;19/08/2019;31/12/2029
;Pegawai 1294;Certified Government Accounting Associate;29/07/2022;31/12/2029
;Pegawai 1330;Certified Risk Management Officer;23/08/2020;31/12/2029
;Pegawai 1917;Certificate in International Auditing;08/06/2019;31/12/2029
;Pegawai 150;Certified Financial Planner;14/06/2020;31/12/2029
;Pegawai 1724;Qualified Government Internal Auditor;01/10/2021;31/12/2029
;Pegawai 1736;Corporate Forensic Auditor;31/01/2021;31/12/2029
;Pegawai 1080;Certificate in International Public Sector Accounting Standards;12/10/2018;31/12/2029
;Pegawai 29;Certified Procurement Specialist;01/06/2018;31/12/2029
;Pegawai 1170;Certified Risk Management Professional;27/11/2019;31/12/2029
;Pegawai 924;Certificate in International Auditing;08/09/2018;31/12/2029
;Pegawai 826;Certified Contract Management Specialist;12/01/2018;31/12/2029
;Pegawai 1236;Certification in Control Self-Assessment;23/03/2019;31/12/2029
;Pegawai 331;Certified Contract Management Specialist;31/05/2022;31/12/2029
;Pegawai 1973;Certified Secure Computer User;21/01/2019;31/12/2029
;Pegawai 572;Certified Information System Auditors;14/12/2019;31/12/2029
;Pegawai 600;Certified Grafologie Analyst;09/05/2022;31/12/2029
;Pegawai 789;Qualified Risk Management Professional;25/12/2021;31/12/2029
;Pegawai 1842;Certificate in International Public Sector Accounting Standards;26/02/2019;31/12/2029
;Pegawai 978;Certificate in International Auditing;26/06/2019;31/12/2029
;Pegawai 161;Certification in Risk Management Assurance;23/07/2021;31/12/2029
;Pegawai 1025;Ahli Akuntansi Pemerintahan B;15/01/2022;31/12/2029
;Pegawai 331;Certified Risk Professional;26/12/2020;31/12/2029
;Pegawai 1828;Certificate in International Public Sector Accounting Standards;01/02/2019;31/12/2029
;Pegawai 324;AccessData Certified Examiner;22/12/2018;31/12/2029
;Pegawai 154;Certificate in International Auditing;08/05/2022;31/12/2029
;Pegawai 37;Teknisi Akuntansi;27/05/2020;31/12/2029
;Pegawai 1609;Certified Management Accountants;07/06/2021;31/12/2029
;Pegawai 1720;Certified Management Accountants;15/02/2021;31/12/2029
;Pegawai 1468;Ahli Akuntansi Pemerintahan A;28/12/2020;31/12/2029
;Pegawai 324;Certified IPSAS Specialist;24/05/2022;31/12/2029
;Pegawai 675;Certified Professional Coach;20/04/2018;31/12/2029
;Pegawai 378;Certified Professional Talent Management;03/12/2019;31/12/2029
;Pegawai 95;Qualified Risk Management Professional;05/09/2019;31/12/2029
;Pegawai 1975;Ahli Akuntansi Pemerintahan A;26/06/2019;31/12/2029
;Pegawai 554;AccessData Certified Examiner;22/06/2021;31/12/2029
;Pegawai 1087;Certified Fraud Examiner;23/11/2021;31/12/2029
;Pegawai 206;Certification in Control Self-Assessment;23/03/2019;31/12/2029
;Pegawai 1981;Governance Risk Management and Compliance Professional;29/05/2019;31/12/2029
;Pegawai 239;Insinyur Professional Madya;25/03/2019;31/12/2029
;Pegawai 1429;Certified Risk Management Officer;23/01/2022;31/12/2029
;Pegawai 1652;Certified Professional Coach;13/06/2021;31/12/2029
;Pegawai 1102;Certified Sustainability Reporting Specialist;30/08/2018;31/12/2029
;Pegawai 832;Certificate in International Auditing;24/11/2019;31/12/2029
;Pegawai 199;Certified Government Accounting Associate;19/02/2019;31/12/2029
;Pegawai 990;Enterprise Risk Management Associate Professional;13/08/2019;31/12/2029
;Pegawai 818;Certified Internal Audit Officer;15/01/2021;31/12/2029
;Pegawai 943;Cyber Security Foundation Professional;31/01/2019;31/12/2029
;Pegawai 674;Certified Government Accounting Associate;16/11/2020;31/12/2029
;Pegawai 1588;Certified Human Resources Professional;27/02/2019;31/12/2029
;Pegawai 1332;Certified Data Centre Professional;06/07/2021;31/12/2029
;Pegawai 1374;Certified Public Accountant;20/02/2018;31/12/2029
;Pegawai 72;Certified Corporate Coach;02/06/2022;31/12/2029
;Pegawai 1738;Certified Accounting Technician;26/06/2020;31/12/2029
;Pegawai 1577;Certified Sustainability Reporting Specialist;30/08/2021;31/12/2029
;Pegawai 1260;Certified Human Resources Analyst;27/02/2021;31/12/2029
;Pegawai 862;Cellebrite Certified Physical Analyst;24/04/2022;31/12/2029
;Pegawai 1831;Certified Government Accounting Associate;25/09/2022;31/12/2029
;Pegawai 1064;Certified Professional Talent Management;10/07/2020;31/12/2029
;Pegawai 86;Certified Internal Audit Officer;19/02/2018;31/12/2029
;Pegawai 1499;ASEAN Chartered Professional Accountant;09/07/2021;31/12/2029
;Pegawai 1144;Asean Engineeer;05/10/2021;31/12/2029
;Pegawai 1509;Certified Grafologie Analyst;29/07/2021;31/12/2029
;Pegawai 1230;Teknisi Akuntansi;29/12/2021;31/12/2029
;Pegawai 1275;Certified Internal Audit Officer;16/11/2022;31/12/2029
;Pegawai 1157;AccessData Certified Examiner;18/12/2020;31/12/2029
;Pegawai 190;Certified Professional Coach;19/04/2020;31/12/2029
;Pegawai 251;Certified Government Chief Audit Executive;15/07/2018;31/12/2029
;Pegawai 1179;Certified Pernyataan Standar Akuntansi Keuangan;12/05/2019;31/12/2029
;Pegawai 1644;AccessData Certified Examiner;10/05/2018;31/12/2029
;Pegawai 683;Certified Human Resources Analyst;05/10/2020;31/12/2029
;Pegawai 1257;Loop Certified Corporate Coach;03/11/2022;31/12/2029
;Pegawai 1321;Certified Internal Control Auditor;28/08/2019;31/12/2029
;Pegawai 528;Certificate in Data Analytics;09/10/2018;31/12/2029
;Pegawai 977;Advanced Diploma in Forensic Accounting - Level 5;09/11/2021;31/12/2029
;Pegawai 254;Certified Professional Management Accountant;20/03/2022;31/12/2029
;Pegawai 854;Governance  Risk Management and Compliance Audit;20/04/2020;31/12/2029
;Pegawai 1758;Certified Human Resources Specialist;30/06/2018;31/12/2029
;Pegawai 167;Loop Certified Corporate Coach;28/02/2018;31/12/2029
;Pegawai 123;Certified Risk Professional;20/11/2022;31/12/2029
;Pegawai 1425;EnCase Certified Examiner;02/06/2020;31/12/2029
;Pegawai 1710;Certified Management Accountants;13/07/2018;31/12/2029
;Pegawai 1614;Certified Sustainability Practitioner;16/08/2022;31/12/2029
;Pegawai 1286;AccessData Certified Examiner;15/10/2018;31/12/2029
;Pegawai 146;Certified Contract Management Specialist;07/09/2019;31/12/2029
;Pegawai 884;Certification in Risk Management Assurance;02/11/2018;31/12/2029
;Pegawai 991;Certified RIsk Associate;16/01/2020;31/12/2029
;Pegawai 911;Cisco Certified Network Associate;18/01/2018;31/12/2029
;Pegawai 606;Certificate in International Public Sector Accounting Standards;22/04/2018;31/12/2029
;Pegawai 799;Qualified Risk Management Professional;23/04/2022;31/12/2029
;Pegawai 1200;Certified Information System Auditors;29/11/2021;31/12/2029
;Pegawai 1764;Certified Data Centre Professional;06/07/2018;31/12/2029
;Pegawai 563;Certified Pernyataan Standar Akuntansi Keuangan;17/09/2018;31/12/2029
;Pegawai 1643;Certified Professional Coach;13/12/2020;31/12/2029
;Pegawai 1143;Cellebrite Certified Officer;24/05/2020;31/12/2029
;Pegawai 1490;Certified Sustainability Practitioner;11/05/2022;31/12/2029
;Pegawai 973;Certified Professional Coach;05/10/2022;31/12/2029
;Pegawai 1333;Asean Engineeer;02/05/2018;31/12/2029
;Pegawai 62;Ahli Akuntansi Pemerintahan;23/04/2018;31/12/2029
;Pegawai 986;Governance  Risk Management and Compliance Audit;05/09/2022;31/12/2029
;Pegawai 1267;Enterprise Risk Management Certified Professional;21/05/2018;31/12/2029
;Pegawai 1777;Corporate Forensic Auditor;12/02/2018;31/12/2029
;Pegawai 1688;Certified Legal Auditor;21/04/2019;31/12/2029
;Pegawai 1777;Certification in Control Self-Assessment;31/03/2018;31/12/2029
;Pegawai 181;Certified Financial Planner;03/04/2022;31/12/2029
;Pegawai 1909;Cellebrite Certified Officer;27/01/2020;31/12/2029
;Pegawai 829;Certified Sustainability Practitioner;06/12/2021;31/12/2029
;Pegawai 606;Certified Legal Auditor;03/05/2018;31/12/2029
;Pegawai 72;Enterprise Risk Management Associate Professional;26/12/2022;31/12/2029
;Pegawai 683;Associate Certified Public Accountant;29/10/2022;31/12/2029
;Pegawai 498;Asean Engineeer;28/01/2019;31/12/2029
;Pegawai 1687;Certified Risk Management Officer;23/03/2021;31/12/2029
;Pegawai 636;Certified Risk Professional;11/10/2019;31/12/2029
;Pegawai 1692;Enterprise Risk Management Certified Professional;26/10/2020;31/12/2029
;Pegawai 295;EnCase Certified Examiner;18/06/2022;31/12/2029
;Pegawai 1728;Certified Risk Management Professional;11/02/2018;31/12/2029
;Pegawai 1502;Certified Contract Management Specialist;03/09/2019;31/12/2029
;Pegawai 21;Cellebrite Certified Physical Analyst;05/02/2021;31/12/2029
;Pegawai 1490;Certified Government Accounting Associate;25/06/2022;31/12/2029
;Pegawai 276;Certified Government Chief Audit Executive;02/01/2020;31/12/2029
;Pegawai 122;Governance  Risk Management and Compliance Audit;30/10/2018;31/12/2029
;Pegawai 498;Certificate in International Auditing;24/02/2021;31/12/2029
;Pegawai 106;Oxygen Forensic Certified;09/10/2019;31/12/2029
;Pegawai 1977;Certified Data Centre Professional;21/02/2018;31/12/2029
;Pegawai 1019;Certified Grafologie Analyst;18/04/2018;31/12/2029
;Pegawai 909;Insinyur Professional Madya;27/07/2018;31/12/2029
;Pegawai 493;Certification in Risk Management Assurance;27/02/2020;31/12/2029
;Pegawai 1174;Cellebrite Certified Physical Analyst;03/01/2019;31/12/2029
;Pegawai 1530;Cellebrite Certified Operator;07/10/2020;31/12/2029
;Pegawai 810;Chartered Accountant;16/03/2020;31/12/2029
;Pegawai 1782;Qualified Risk Management Professional;26/04/2022;31/12/2029
;Pegawai 741;Enterprise Risk Management Certified Professional;23/11/2022;31/12/2029
;Pegawai 1506;Certified Human Resources Management Professional;22/06/2022;31/12/2029
;Pegawai 752;Certified Human Resources Specialist;27/01/2018;31/12/2029
;Pegawai 228;Certified Sustainability Reporting Specialist;26/05/2022;31/12/2029
;Pegawai 1458;Cellebrite Certified Operator;30/09/2018;31/12/2029
;Pegawai 131;Certificate in International Auditing;13/09/2021;31/12/2029
;Pegawai 1326;Cellebrite Certified Officer;12/12/2021;31/12/2029
;Pegawai 68;Certified Corporate Coach;01/11/2021;31/12/2029
;Pegawai 806;Certified Public Accountant;13/04/2020;31/12/2029
;Pegawai 71;Teknisi Akuntansi;03/06/2021;31/12/2029
;Pegawai 222;Insinyur Professional Madya;21/11/2019;31/12/2029
;Pegawai 524;Certified Information System Auditors;28/11/2021;31/12/2029
;Pegawai 1270;Certified Grafologie Analyst;08/03/2019;31/12/2029
;Pegawai 441;Akuntan;27/07/2018;31/12/2029
;Pegawai 700;Certified Internal Audit Officer;03/04/2018;31/12/2029
;Pegawai 702;Certified Procurement Specialist;02/05/2019;31/12/2029
;Pegawai 817;Corporate Forensic Auditor;26/11/2018;31/12/2029
;Pegawai 1224;Certified Sustainability Reporting Specialist;12/06/2018;31/12/2029
;Pegawai 704;Certified Internal Control Auditor;25/07/2022;31/12/2029
;Pegawai 951;Certified IPSAS Specialist;04/04/2020;31/12/2029
;Pegawai 189;Certified Sustainability Practitioner;17/07/2019;31/12/2029
;Pegawai 1933;Qualified Risk Management Professional;18/10/2022;31/12/2029
;Pegawai 578;Loop Certified Corporate Coach;25/07/2020;31/12/2029
;Pegawai 247;Certified Internal Auditor;14/11/2018;31/12/2029
;Pegawai 1843;Certificate in International Auditing;25/09/2019;31/12/2029
;Pegawai 1041;Sertifikasi Change Management;16/04/2018;31/12/2029
;Pegawai 557;Certificate in International Auditing;22/07/2020;31/12/2029
;Pegawai 1997;Certified Forensic Auditor;21/09/2021;31/12/2029
;Pegawai 131;Governance  Risk Management and Compliance Audit;13/08/2021;31/12/2029
;Pegawai 933;Insinyur Professional Madya;29/01/2022;31/12/2029
;Pegawai 196;Qualified Risk Management Professional;01/11/2022;31/12/2029
;Pegawai 1358;Certified Accounting Technician;28/07/2021;31/12/2029
;Pegawai 1810;Cyber Security Foundation Professional;05/10/2020;31/12/2029
;Pegawai 1253;Certified Financial Planner;06/02/2019;31/12/2029
;Pegawai 1092;Cerified Sustainability Reporting Assurer;08/02/2021;31/12/2029
;Pegawai 1538;Certified Secure Computer User;21/02/2021;31/12/2029
;Pegawai 759;Oxygen Forensic Certified;20/02/2020;31/12/2029
;Pegawai 1105;Certified Risk Professional;07/11/2021;31/12/2029
;Pegawai 1513;Certified IPSAS Specialist;18/10/2022;31/12/2029
;Pegawai 461;Governance Risk Management and Compliance Professional;14/11/2021;31/12/2029
;Pegawai 449;Enterprise Risk Management Associate Professional;23/10/2022;31/12/2029
;Pegawai 789;Certified Human Resources Professional;10/03/2022;31/12/2029
;Pegawai 1244;Certified Legal Auditor;27/07/2021;31/12/2029
;Pegawai 168;Oxygen Forensic Certified;19/07/2020;31/12/2029
;Pegawai 1149;Certified Grafologie Analyst;09/03/2018;31/12/2029
;Pegawai 1552;Certified Professional Talent Management;30/09/2022;31/12/2029
;Pegawai 1809;Certified Secure Computer User;01/05/2018;31/12/2029
;Pegawai 1880;Certified Sustainability Practitioner;28/03/2019;31/12/2029
;Pegawai 105;Qualified Risk Management Professional;25/05/2022;31/12/2029
;Pegawai 1415;Certified Data Centre Professional;16/07/2021;31/12/2029
;Pegawai 654;Cyber Security Foundation Professional;18/10/2021;31/12/2029
;Pegawai 104;Governance  Risk Management and Compliance Audit;07/04/2019;31/12/2029
;Pegawai 1467;Certified Human Resources Management Professional;20/01/2022;31/12/2029
;Pegawai 1010;Certified Grafologie Analyst;02/02/2018;31/12/2029
;Pegawai 1394;Teknisi Akuntansi;01/08/2019;31/12/2029
;Pegawai 617;EnCase Certified Examiner;06/02/2022;31/12/2029
;Pegawai 718;Advanced Diploma in Forensic Accounting - Level 5;09/02/2020;31/12/2029
;Pegawai 1657;Certified Grafologie Analyst;12/07/2019;31/12/2029
;Pegawai 1679;Certificate in International Auditing;13/03/2021;31/12/2029
;Pegawai 241;Cyber Security Foundation Professional;13/03/2021;31/12/2029
;Pegawai 9;Qualified Risk Management Professional;17/01/2019;31/12/2029
;Pegawai 968;Insinyur Professional Madya;26/02/2020;31/12/2029
;Pegawai 1105;Ahli Akuntansi Pemerintahan A;28/12/2022;31/12/2029
;Pegawai 547;Qualified Internal Auditor;04/06/2022;31/12/2029
;Pegawai 907;Certified Manpower Planner;23/10/2019;31/12/2029
;Pegawai 659;Certified Information System Auditors;05/09/2018;31/12/2029
;Pegawai 856;Certified State Finance Auditor;14/07/2018;31/12/2029
;Pegawai 1166;Cellebrite Certified Operator;18/07/2021;31/12/2029
;Pegawai 751;Certified Contract Management Specialist;06/01/2019;31/12/2029
;Pegawai 153;Certified Government Chief Audit Executive;12/06/2022;31/12/2029
;Pegawai 602;Enterprise Risk Management Associate Professional;23/07/2021;31/12/2029
;Pegawai 1465;Corporate Forensic Auditor;23/09/2021;31/12/2029
;Pegawai 122;Oxygen Forensic Certified;11/03/2020;31/12/2029
;Pegawai 1295;Enterprise Risk Management Associate Professional;12/08/2020;31/12/2029
;Pegawai 1648;Certified Human Resources Management Professional (CHRMP);25/05/2018;31/12/2029
;Pegawai 1774;Advanced Diploma in Forensic Accounting - Level 5;10/10/2019;31/12/2029
;Pegawai 1901;Certified Sustainability Reporting Specialist;06/10/2018;31/12/2029
;Pegawai 1816;Certified Management Accountants;25/04/2022;31/12/2029
;Pegawai 1983;Certified Financial Planner;05/05/2019;31/12/2029
;Pegawai 846;Certified Risk Management Professional;10/07/2022;31/12/2029
;Pegawai 33;Cyber Security Foundation Professional;05/10/2020;31/12/2029
;Pegawai 406;Cyber Security Foundation Professional;25/10/2021;31/12/2029
;Pegawai 1947;Certified Sustainability Reporting Specialist;03/06/2021;31/12/2029
;Pegawai 1523;Loop Certified Corporate Coach;15/04/2018;31/12/2029
;Pegawai 1571;Certified Hacking Forensic Investigator;24/09/2021;31/12/2029
;Pegawai 221;Certificate in International Public Sector Accounting Standards;25/05/2021;31/12/2029
;Pegawai 1022;Cellebrite Certified Operator;07/12/2018;31/12/2029
;Pegawai 1939;Governance  Risk Management and Compliance Audit;05/07/2022;31/12/2029
;Pegawai 1375;Qualified Internal Auditor;27/03/2020;31/12/2029
;Pegawai 1875;Certified Internal Control Auditor;22/01/2022;31/12/2029
;Pegawai 1329;Enterprise Risk Management Certified Professional;27/07/2018;31/12/2029
;Pegawai 592;Certified Manpower Planner;11/04/2020;31/12/2029
;Pegawai 531;ASEAN Chartered Professional Accountant;29/05/2020;31/12/2029
;Pegawai 652;Certified IPSAS Specialist;18/01/2019;31/12/2029
;Pegawai 1879;Certified Management Accountants;17/03/2018;31/12/2029
;Pegawai 1341;Ahli Akuntansi Pemerintahan B;27/01/2022;31/12/2029
;Pegawai 1129;Certified Corporate Coach;02/12/2019;31/12/2029
;Pegawai 1907;Certified Manpower Planner;15/12/2021;31/12/2029
;Pegawai 838;Certified Human Resources Professional;14/01/2022;31/12/2029
;Pegawai 1397;Certified Pernyataan Standar Akuntansi Keuangan;20/07/2019;31/12/2029
;Pegawai 944;Certified Contract Management Specialist;06/06/2018;31/12/2029
;Pegawai 1406;Certified State Finance Auditor;25/09/2022;31/12/2029
;Pegawai 807;Certified Professional Management Accountant;20/12/2022;31/12/2029
;Pegawai 236;Certified Hacking Forensic Investigator;21/07/2020;31/12/2029
;Pegawai 1234;Certified Internal Audit Officer;14/05/2020;31/12/2029
;Pegawai 1995;Certified RIsk Associate;11/05/2021;31/12/2029
;Pegawai 822;Certified State Finance Auditor;29/07/2022;31/12/2029
;Pegawai 1117;Associate Certified Public Accountant;24/02/2022;31/12/2029
;Pegawai 394;Insinyur Professional Madya;11/01/2021;31/12/2029
;Pegawai 368;Sertifikasi Change Management;15/02/2018;31/12/2029
;Pegawai 750;Associate Certified Public Accountant;16/05/2022;31/12/2029
;Pegawai 595;Certified Human Resources Specialist;30/06/2022;31/12/2029
;Pegawai 366;Certified Corporate Coach;04/01/2021;31/12/2029
;Pegawai 1320;Ahli Akuntansi Pemerintahan B;05/06/2019;31/12/2029
;Pegawai 85;Certified Sustainability Practitioner;24/07/2018;31/12/2029
;Pegawai 780;Certified Sustainability Reporting Specialist;05/01/2022;31/12/2029
;Pegawai 1431;Governance Risk Management and Compliance Professional;21/06/2018;31/12/2029
;Pegawai 1603;Certified Information System Auditors;08/02/2022;31/12/2029
;Pegawai 1498;Sertifikasi Change Management;12/05/2019;31/12/2029
;Pegawai 488;Ahli Akuntansi Pemerintahan B;02/01/2022;31/12/2029
;Pegawai 170;Certified Government Auditing Professional;06/10/2019;31/12/2029
;Pegawai 637;Insinyur;14/07/2020;31/12/2029
;Pegawai 514;Certified Fraud Examiner;27/02/2019;31/12/2029
;Pegawai 1027;Certified Government Auditing Professional;04/02/2018;31/12/2029
;Pegawai 1548;Qualified Risk Management Professional;02/04/2022;31/12/2029
;Pegawai 242;Certified Fraud Examiner;29/09/2022;31/12/2029
;Pegawai 1245;Certified Information System Auditors;16/12/2020;31/12/2029
;Pegawai 1605;Certified Professional Coach;01/11/2019;31/12/2029
;Pegawai 323;Certified Contract Management Specialist;15/02/2019;31/12/2029
;Pegawai 347;Asean Engineeer;15/11/2021;31/12/2029
;Pegawai 1195;Certified Human Resources Analyst;22/02/2018;31/12/2029
;Pegawai 376;Certified Human Resources Professional;16/11/2020;31/12/2029
;Pegawai 797;Certified Hacking Forensic Investigator;14/02/2022;31/12/2029
;Pegawai 1112;Certified Sustainability Reporting Specialist;12/01/2018;31/12/2029
;Pegawai 110;Certified Grafologie Analyst;21/03/2018;31/12/2029
;Pegawai 1569;Ahli Akuntansi Pemerintahan B;09/12/2018;31/12/2029
;Pegawai 925;Cellebrite Certified Physical Analyst;12/03/2018;31/12/2029
;Pegawai 524;Governance Risk Management and Compliance Professional;17/05/2021;31/12/2029
;Pegawai 1978;Certified Sustainability Reporting Specialist;25/02/2019;31/12/2029
;Pegawai 1092;Certified Grafologie Analyst;10/10/2022;31/12/2029
;Pegawai 1290;Certified Human Resources Specialist;27/09/2018;31/12/2029
;Pegawai 676;Governance Risk Management and Compliance Professional;09/12/2018;31/12/2029
;Pegawai 46;Governance  Risk Management and Compliance Audit;05/03/2022;31/12/2029
;Pegawai 1551;Cerified Sustainability Reporting Assurer;14/01/2022;31/12/2029
;Pegawai 275;Certified Human Resources Specialist;25/01/2018;31/12/2029
;Pegawai 752;Certified Professional Management Accountant;29/04/2020;31/12/2029
;Pegawai 519;Certified Sustainability Practitioner;10/08/2019;31/12/2029
;Pegawai 721;Qualified Internal Auditor;19/09/2018;31/12/2029
;Pegawai 1833;Loop Certified Corporate Coach;28/11/2018;31/12/2029
;Pegawai 1896;Certification in Control Self-Assessment;14/05/2019;31/12/2029
;Pegawai 226;Certified Risk Management Professional;01/04/2022;31/12/2029
;Pegawai 76;Certified Pernyataan Standar Akuntansi Keuangan;10/04/2020;31/12/2029
;Pegawai 620;Certified Human Resources Specialist;03/03/2020;31/12/2029
;Pegawai 1927;Certified Internal Audit Officer;28/10/2018;31/12/2029
;Pegawai 452;Asean Engineeer;02/01/2022;31/12/2029
;Pegawai 1391;Oxygen Forensic Certified;27/02/2021;31/12/2029
;Pegawai 1461;Certified Data Centre Professional;16/10/2020;31/12/2029
;Pegawai 262;Certificate in International Auditing;24/09/2020;31/12/2029
;Pegawai 557;Certified IPSAS Specialist;13/12/2019;31/12/2029
;Pegawai 71;Certified Risk Professional;29/11/2018;31/12/2029
;Pegawai 1286;Chartered Accountant;15/12/2021;31/12/2029
;Pegawai 1950;Certification in Control Self-Assessment;10/11/2020;31/12/2029
;Pegawai 1000;Certified State Finance Auditor;31/12/2022;31/12/2029
;Pegawai 252;Certified Contract Management Specialist;29/06/2021;31/12/2029
;Pegawai 1090;Loop Certified Corporate Coach;02/02/2018;31/12/2029
;Pegawai 1763;Cisco Certified Network Associate;21/05/2021;31/12/2029
;Pegawai 1993;Insinyur;10/10/2020;31/12/2029
;Pegawai 646;Certified Hacking Forensic Investigator;25/01/2020;31/12/2029
;Pegawai 1205;Certified Management Accountants;20/06/2019;31/12/2029
;Pegawai 38;Certified Human Resources Management Professional;30/11/2022;31/12/2029
;Pegawai 369;Certified Human Resources Management Professional (CHRMP);21/03/2019;31/12/2029
;Pegawai 283;Certified Financial Planner;24/03/2019;31/12/2029
;Pegawai 608;Certified Forensic Auditor;04/04/2020;31/12/2029
;Pegawai 26;Certified Government Chief Audit Executive;19/12/2021;31/12/2029
;Pegawai 1462;Certified Internal Audit Officer;28/06/2019;31/12/2029
;Pegawai 354;Cellebrite Certified Physical Analyst;01/08/2022;31/12/2029
;Pegawai 871;Certified Government Accounting Associate;14/12/2021;31/12/2029
;Pegawai 468;Certified Internal Audit Officer;24/03/2022;31/12/2029
;Pegawai 1313;Ahli Akuntansi Pemerintahan B;11/11/2022;31/12/2029
;Pegawai 1708;Certified Professional Talent Management;28/01/2021;31/12/2029
;Pegawai 1467;Cellebrite Certified Physical Analyst;18/09/2022;31/12/2029
;Pegawai 1364;EnCase Certified Examiner;30/12/2020;31/12/2029
;Pegawai 1965;Certificate in International Public Sector Accounting Standards;30/03/2022;31/12/2029
;Pegawai 333;Certified Government Auditing Professional;21/11/2020;31/12/2029
;Pegawai 1365;Certificate in International Public Sector Accounting Standards;16/10/2018;31/12/2029
;Pegawai 774;Chartered Accountant;13/10/2022;31/12/2029
;Pegawai 1460;Governance  Risk Management and Compliance Audit;19/02/2020;31/12/2029
;Pegawai 1666;Insinyur;04/02/2021;31/12/2029
;Pegawai 1509;Certified Forensic Auditor;19/07/2018;31/12/2029
;Pegawai 1515;Certified Government Chief Audit Executive;19/11/2021;31/12/2029
;Pegawai 1473;Insinyur Professional Madya;15/01/2020;31/12/2029
;Pegawai 1614;Certified Public Accountant;15/10/2019;31/12/2029
;Pegawai 1959;Cisco Certified Network Associate;09/05/2019;31/12/2029
;Pegawai 1308;Certificate in Data Analytics;19/08/2020;31/12/2029
;Pegawai 736;Certified Human Resources Professional;23/07/2021;31/12/2029
;Pegawai 1352;Certified Sustainability Practitioner;28/10/2020;31/12/2029
;Pegawai 396;Certified Fraud Examiner;25/03/2020;31/12/2029
